key,x,y,wait,move_index,271025472
,-113.0,8.0,0.0,2
,-113.0,8.0,8.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,2.0,2
,-113.0,18.0,0.0,2
,-113.0,18.0,0.2,2
,-113.0,8.0,0.0,2
,-113.0,8.0,0.2,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,2.0,2
,-123.0,8.0,0.0,2
,-123.0,8.0,0.5,2
,-123.0,8.0,0.5,2
,-113.0,8.0,0.0,2
,-113.0,8.0,0.5,2
,-113.0,8.0,0.5,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,2.0,2
,-113.0,18.0,0.0,2
,-113.0,18.0,0.2,2
,-113.0,8.0,0.0,2
,-113.0,8.0,0.2,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,2.0,2
,-113.0,8.0,0.5,2
,-113.0,8.0,0.5,2
,-113.0,8.0,2.0,2
,-113.0,8.0,2.0,2
,-113.0,8.0,0.5,2
,-113.0,8.0,0.5,2
,-113.0,8.0,1.0,2
,-113.0,8.0,1.0,2
,-113.0,8.0,2.0,2
