key,x,y,wait,move_index,500049113
,-228.0,19.0,0.0,2
,-228.0,19.0,5.0,2
,-228.0,19.0,5.0,2
,-228.0,19.0,1.0,2
,185.0,25.0,1.0,2
,185.0,25.0,1.0,2
,185.0,25.0,0.0,2
,3.0,10.0,1.0,2
,3.0,10.0,2.0,2
,3.0,10.0,10.0,2
,3.0,10.0,2.0,2
,3.0,10.0,5.0,2
,155.0,2.0,0.0,2
,13.0,44.0,1.0,2
,13.0,44.0,7.0,2
,13.0,44.0,2.0,2
,13.0,44.0,0.0,2
,-187.0,52.0,1.0,2
,-187.0,52.0,0.0,2
,-118.0,20.0,1.0,2
,-118.0,20.0,2.0,2
,-118.0,20.0,2.0,2
,-118.0,20.0,2.0,2
,-118.0,20.0,0.0,2
,-235.0,16.0,1.0,2
