Blockname,Key,Field
90,0,0
Nextscript,,
event_whenflagclicked,,
looks_seteffectto,,
looks_switchcostumeto,,
text2speech_setVoice,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
looks_switchcostumeto,,
control_wait,,"{'DURATION': [1, [5, '10']]}"
looks_switchcostumeto,,
control_wait,,"{'DURATION': [1, [5, '15']]}"
looks_switchcostumeto,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
text2speech_speakAndWait,,
control_repeat,,
looks_changeeffectby,,
event_broadcast,,
