BlockName,Available
redo,1
edit_procedure,0
show_procedure_definition,0
workspace_comment_default_text,1
colour_hue_label,1
colour_saturation_label,1
colour_brightness_label,1
change_value_title,1
rename_variable_title,1
new_variable,1
new_variable_title,1
variable_already_exists,1
variable_already_exists_for_another_type,1
delete_variable_confirmation,1
cannot_delete_variable_procedure,0
delete_variable,1
new_procedure,0
procedure_already_exists,0
procedure_default_name,0
procedure_used,0
new_list,1
new_list_title,1
list_already_exists,1
rename_list_title,1
default_list_item,1
delete_list,1
rename_list,1
new_broadcast_message,0
new_broadcast_message_title,0
default_broadcast_message_name,0
,
