,BlockName,Key,Field,node_id,parent_id,hash
0,90,-9.630467179371375e-10,-9.40249788748984e-10,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,%:A4U*ysOik[BD#(Z6I(
3,looks_switchcostumeto,,"{""COSTUME"": [1, ""caS!f)~B4TzS[R/J!@v0""]}",2,2,"Z3CWc=?TdSRzXL:%,d~d"
4,looks_setsizeto,,"{""SIZE"": [1, [4, ""100""]]}",3,3,AUkB/c0eGI2wT+4f.Thl
5,control_forever,,,4,4,NiOJTWZwWvuRE`gjXWM1
6,control_if_else,,,5,5,A*rW{/EFl(nti~9Sydfs
7,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",6,6,"o360C7|r=.4`,h6hpG~q"
8,control_if_else,,,7,5,A*rW{/EFl(nti~9Sydfs
9,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",8,6,"o360C7|r=.4`,h6hpG~q"
10,control_if_else,,,9,5,A*rW{/EFl(nti~9Sydfs
11,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",10,6,"o360C7|r=.4`,h6hpG~q"
12,control_if_else,,,11,5,A*rW{/EFl(nti~9Sydfs
13,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",12,6,"o360C7|r=.4`,h6hpG~q"
14,control_if_else,,,13,5,A*rW{/EFl(nti~9Sydfs
15,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",14,6,"o360C7|r=.4`,h6hpG~q"
16,control_if_else,,,15,5,A*rW{/EFl(nti~9Sydfs
17,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",16,6,"o360C7|r=.4`,h6hpG~q"
18,control_if_else,,,17,5,A*rW{/EFl(nti~9Sydfs
19,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",18,6,"o360C7|r=.4`,h6hpG~q"
20,control_if_else,,,19,5,A*rW{/EFl(nti~9Sydfs
21,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",20,6,"o360C7|r=.4`,h6hpG~q"
22,control_if_else,,,21,5,A*rW{/EFl(nti~9Sydfs
23,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",22,6,"o360C7|r=.4`,h6hpG~q"
24,control_if_else,,,23,5,A*rW{/EFl(nti~9Sydfs
25,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",24,6,"o360C7|r=.4`,h6hpG~q"
26,control_if_else,,,25,5,A*rW{/EFl(nti~9Sydfs
27,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",26,6,"o360C7|r=.4`,h6hpG~q"
28,control_if_else,,,27,5,A*rW{/EFl(nti~9Sydfs
29,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",28,6,"o360C7|r=.4`,h6hpG~q"
30,control_if_else,,,29,5,A*rW{/EFl(nti~9Sydfs
31,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",30,6,"o360C7|r=.4`,h6hpG~q"
32,control_if_else,,,31,5,A*rW{/EFl(nti~9Sydfs
33,control_repeat_until,,"{""CONDITION"": [2, ""O0*%,!S?{qiG|REIJ-UV""], ""SUBSTACK"": [2, ""aWBM=|/bFW)23Y0DnPfk""]}",32,6,"o360C7|r=.4`,h6hpG~q"
34,control_if_else,,,33,5,A*rW{/EFl(nti~9Sydfs
