,BlockName,Key,Field,node_id,parent_id,hash
0,90,-45,156,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,kSfh?$)e%MK5*bH=AhD`
3,data_setvariableto,,,2,2,{fq(W8!1JzqSXyf;~J|U
4,looks_switchcostumeto,,"{""COSTUME"": [1, ""E]44laU,0.`F;-bx0_hS""]}",3,3,5GsWoJUg9xjxwg9W91C:
5,control_forever,,,4,4,7-~|xk_Zef!;EhK@E?DY
6,motion_changexby,,"{""DX"": [3, ""o!oaP(ZbTAeIlj7}wdBq"", [4, ""10""]]}",5,5,W=o%OMM5jcGYMXDs4kfa
7,control_if,,,6,6,=MVDE%3c#s;GjSef1_}Z
8,looks_hide,,{},7,7,"NWaB;fxa=jw/iB$`O$,F"
9,motion_gotoxy,,"{""X"": [3, ""y3nYvc!)Zd{4+CC$%g;h"", [4, ""-166""]], ""Y"": [1, [4, ""156""]]}",8,8,"YyQBcS^xuu{:/xb0,ISF"
10,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",9,9,"],7Eb4sZ8L;)7`cECLE$"
11,looks_show,,{},10,10,"*1pZcS5ISg/{Q*ys,T%W"
12,motion_changexby,,"{""DX"": [3, ""o!oaP(ZbTAeIlj7}wdBq"", [4, ""10""]]}",11,5,W=o%OMM5jcGYMXDs4kfa
13,control_if,,,12,6,=MVDE%3c#s;GjSef1_}Z
14,looks_hide,,{},13,7,"NWaB;fxa=jw/iB$`O$,F"
15,motion_gotoxy,,"{""X"": [3, ""y3nYvc!)Zd{4+CC$%g;h"", [4, ""-166""]], ""Y"": [1, [4, ""156""]]}",14,8,"YyQBcS^xuu{:/xb0,ISF"
16,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",15,9,"],7Eb4sZ8L;)7`cECLE$"
17,looks_show,,{},16,10,"*1pZcS5ISg/{Q*ys,T%W"
18,motion_changexby,,"{""DX"": [3, ""o!oaP(ZbTAeIlj7}wdBq"", [4, ""10""]]}",17,5,W=o%OMM5jcGYMXDs4kfa
19,control_if,,,18,6,=MVDE%3c#s;GjSef1_}Z
20,looks_hide,,{},19,7,"NWaB;fxa=jw/iB$`O$,F"
21,motion_gotoxy,,"{""X"": [3, ""y3nYvc!)Zd{4+CC$%g;h"", [4, ""-166""]], ""Y"": [1, [4, ""156""]]}",20,8,"YyQBcS^xuu{:/xb0,ISF"
22,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",21,9,"],7Eb4sZ8L;)7`cECLE$"
23,looks_show,,{},22,10,"*1pZcS5ISg/{Q*ys,T%W"
24,motion_changexby,,"{""DX"": [3, ""o!oaP(ZbTAeIlj7}wdBq"", [4, ""10""]]}",23,5,W=o%OMM5jcGYMXDs4kfa
25,control_if,,,24,6,=MVDE%3c#s;GjSef1_}Z
26,looks_hide,,{},25,7,"NWaB;fxa=jw/iB$`O$,F"
27,motion_gotoxy,,"{""X"": [3, ""y3nYvc!)Zd{4+CC$%g;h"", [4, ""-166""]], ""Y"": [1, [4, ""156""]]}",26,8,"YyQBcS^xuu{:/xb0,ISF"
28,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",27,9,"],7Eb4sZ8L;)7`cECLE$"
29,looks_show,,{},28,10,"*1pZcS5ISg/{Q*ys,T%W"
30,motion_changexby,,"{""DX"": [3, ""o!oaP(ZbTAeIlj7}wdBq"", [4, ""10""]]}",29,5,W=o%OMM5jcGYMXDs4kfa
31,control_if,,,30,6,=MVDE%3c#s;GjSef1_}Z
32,looks_hide,,{},31,7,"NWaB;fxa=jw/iB$`O$,F"
