,BlockName,Key,Field,node_id,parent_id,hash
0,90,57,-39,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,":Jp^G$go6e,M6:-WlF`?"
3,control_forever,,,2,2,EiUNwpndH{hqH*d#(t/0
4,data_setvariableto,,,3,3,5/s=1h]cy;pwKeE.pLQJ
5,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",4,4,"eZFW9?H,x~Ng#PTd=~Xh"
6,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",5,5,YekGB|]$)F-vZlvZoF^b
7,data_setvariableto,,,6,3,5/s=1h]cy;pwKeE.pLQJ
8,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",7,4,"eZFW9?H,x~Ng#PTd=~Xh"
9,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",8,5,YekGB|]$)F-vZlvZoF^b
10,data_setvariableto,,,9,3,5/s=1h]cy;pwKeE.pLQJ
11,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",10,4,"eZFW9?H,x~Ng#PTd=~Xh"
12,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",11,5,YekGB|]$)F-vZlvZoF^b
13,data_setvariableto,,,12,3,5/s=1h]cy;pwKeE.pLQJ
14,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",13,4,"eZFW9?H,x~Ng#PTd=~Xh"
15,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",14,5,YekGB|]$)F-vZlvZoF^b
16,data_setvariableto,,,15,3,5/s=1h]cy;pwKeE.pLQJ
17,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",16,4,"eZFW9?H,x~Ng#PTd=~Xh"
18,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",17,5,YekGB|]$)F-vZlvZoF^b
19,data_setvariableto,,,18,3,5/s=1h]cy;pwKeE.pLQJ
20,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",19,4,"eZFW9?H,x~Ng#PTd=~Xh"
21,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",20,5,YekGB|]$)F-vZlvZoF^b
22,data_setvariableto,,,21,3,5/s=1h]cy;pwKeE.pLQJ
23,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",22,4,"eZFW9?H,x~Ng#PTd=~Xh"
24,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",23,5,YekGB|]$)F-vZlvZoF^b
25,data_setvariableto,,,24,3,5/s=1h]cy;pwKeE.pLQJ
26,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",25,4,"eZFW9?H,x~Ng#PTd=~Xh"
27,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",26,5,YekGB|]$)F-vZlvZoF^b
28,data_setvariableto,,,27,3,5/s=1h]cy;pwKeE.pLQJ
29,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",28,4,"eZFW9?H,x~Ng#PTd=~Xh"
30,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",29,5,YekGB|]$)F-vZlvZoF^b
31,data_setvariableto,,,30,3,5/s=1h]cy;pwKeE.pLQJ
32,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",31,4,"eZFW9?H,x~Ng#PTd=~Xh"
33,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",32,5,YekGB|]$)F-vZlvZoF^b
34,data_setvariableto,,,33,3,5/s=1h]cy;pwKeE.pLQJ
35,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",34,4,"eZFW9?H,x~Ng#PTd=~Xh"
36,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",35,5,YekGB|]$)F-vZlvZoF^b
37,data_setvariableto,,,36,3,5/s=1h]cy;pwKeE.pLQJ
38,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",37,4,"eZFW9?H,x~Ng#PTd=~Xh"
39,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",38,5,YekGB|]$)F-vZlvZoF^b
40,data_setvariableto,,,39,3,5/s=1h]cy;pwKeE.pLQJ
41,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",40,4,"eZFW9?H,x~Ng#PTd=~Xh"
42,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",41,5,YekGB|]$)F-vZlvZoF^b
43,data_setvariableto,,,42,3,5/s=1h]cy;pwKeE.pLQJ
44,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",43,4,"eZFW9?H,x~Ng#PTd=~Xh"
45,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",44,5,YekGB|]$)F-vZlvZoF^b
46,data_setvariableto,,,45,3,5/s=1h]cy;pwKeE.pLQJ
47,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",46,4,"eZFW9?H,x~Ng#PTd=~Xh"
48,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",47,5,YekGB|]$)F-vZlvZoF^b
49,data_setvariableto,,,48,3,5/s=1h]cy;pwKeE.pLQJ
50,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",49,4,"eZFW9?H,x~Ng#PTd=~Xh"
51,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",50,5,YekGB|]$)F-vZlvZoF^b
52,data_setvariableto,,,51,3,5/s=1h]cy;pwKeE.pLQJ
53,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",52,4,"eZFW9?H,x~Ng#PTd=~Xh"
54,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",53,5,YekGB|]$)F-vZlvZoF^b
55,data_setvariableto,,,54,3,5/s=1h]cy;pwKeE.pLQJ
56,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",55,4,"eZFW9?H,x~Ng#PTd=~Xh"
57,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",56,5,YekGB|]$)F-vZlvZoF^b
58,data_setvariableto,,,57,3,5/s=1h]cy;pwKeE.pLQJ
59,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",58,4,"eZFW9?H,x~Ng#PTd=~Xh"
60,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",59,5,YekGB|]$)F-vZlvZoF^b
61,data_setvariableto,,,60,3,5/s=1h]cy;pwKeE.pLQJ
62,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",61,4,"eZFW9?H,x~Ng#PTd=~Xh"
63,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",62,5,YekGB|]$)F-vZlvZoF^b
64,data_setvariableto,,,63,3,5/s=1h]cy;pwKeE.pLQJ
65,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",64,4,"eZFW9?H,x~Ng#PTd=~Xh"
66,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",65,5,YekGB|]$)F-vZlvZoF^b
67,data_setvariableto,,,66,3,5/s=1h]cy;pwKeE.pLQJ
68,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",67,4,"eZFW9?H,x~Ng#PTd=~Xh"
69,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",68,5,YekGB|]$)F-vZlvZoF^b
70,data_setvariableto,,,69,3,5/s=1h]cy;pwKeE.pLQJ
71,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",70,4,"eZFW9?H,x~Ng#PTd=~Xh"
72,motion_goto,,"{""TO"": [1, ""u}?jM`1,F!iosu!mRMjY""]}",71,5,YekGB|]$)F-vZlvZoF^b
73,data_setvariableto,,,72,3,5/s=1h]cy;pwKeE.pLQJ
