,BlockName,Key,Field,node_id,parent_id,hash
0,90,26,-130,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,h_A=qbsR?*TIjqV%g8La
3,looks_hide,,{},2,2,9pvwR%lq//)I]2/@tfB*
4,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""80""]]}",3,3,c54-LKqFdma@#Ku?xBom
5,control_repeat,,,4,4,d0(=+:6MAN[[?5g~Oo=P
6,control_create_clone_of,,"{""CLONE_OPTION"": [1, ""wYqNuS!KVXV*(=BrLgrB""]}",5,5,_nV:Ek2.+KwrtFwf$dqu
7,motion_changexby,,"{""DX"": [1, [4, ""19""]]}",6,6,";Aq-x,P)n2w4)!?Us*Ph"
8,motion_changeyby,,"{""DY"": [1, [4, ""-14""]]}",7,7,pz%3Z$uhwLS{3Zl+69*b
9,control_create_clone_of,,"{""CLONE_OPTION"": [1, ""wYqNuS!KVXV*(=BrLgrB""]}",8,5,_nV:Ek2.+KwrtFwf$dqu
10,motion_changexby,,"{""DX"": [1, [4, ""19""]]}",9,6,";Aq-x,P)n2w4)!?Us*Ph"
11,motion_changeyby,,"{""DY"": [1, [4, ""-14""]]}",10,7,pz%3Z$uhwLS{3Zl+69*b
12,control_create_clone_of,,"{""CLONE_OPTION"": [1, ""wYqNuS!KVXV*(=BrLgrB""]}",11,5,_nV:Ek2.+KwrtFwf$dqu
13,motion_changexby,,"{""DX"": [1, [4, ""19""]]}",12,6,";Aq-x,P)n2w4)!?Us*Ph"
14,motion_changeyby,,"{""DY"": [1, [4, ""-14""]]}",13,7,pz%3Z$uhwLS{3Zl+69*b
15,control_create_clone_of,,"{""CLONE_OPTION"": [1, ""wYqNuS!KVXV*(=BrLgrB""]}",14,5,_nV:Ek2.+KwrtFwf$dqu
16,motion_changexby,,"{""DX"": [1, [4, ""19""]]}",15,6,";Aq-x,P)n2w4)!?Us*Ph"
17,motion_changeyby,,"{""DY"": [1, [4, ""-14""]]}",16,7,pz%3Z$uhwLS{3Zl+69*b
18,control_create_clone_of,,"{""CLONE_OPTION"": [1, ""wYqNuS!KVXV*(=BrLgrB""]}",17,5,_nV:Ek2.+KwrtFwf$dqu
19,motion_changexby,,"{""DX"": [1, [4, ""19""]]}",18,6,";Aq-x,P)n2w4)!?Us*Ph"
20,motion_changeyby,,"{""DY"": [1, [4, ""-14""]]}",19,7,pz%3Z$uhwLS{3Zl+69*b
