,BlockName,Key,Field,node_id,parent_id,hash
0,90,90,40,,,
1,SCRIPT,,,0,0,
2,event_whenkeypressed,space,,1,0,"ehwDjM6Pdcyo$K,{U]2C"
3,pen_penUp,,{},2,2,2kbyYG7Ct9x^mnu)^N`1
4,motion_gotoxy,,"{""X"": [1, [4, ""40""]], ""Y"": [1, [4, ""90""]]}",3,3,]YJ518}9`Nd97_k9qO(K
5,pen_penDown,,{},4,4,RzqqP}e3[j74=Bp--U(_
6,motion_gotoxy,,"{""X"": [1, [4, ""50""]], ""Y"": [1, [4, ""80""]]}",5,5,~WhokFB/knNVwz=;0G:J
7,motion_gotoxy,,"{""X"": [1, [4, ""50""]], ""Y"": [1, [4, ""70""]]}",6,6,Z;]ici%c@PUBc;/5md{_
8,motion_gotoxy,,"{""X"": [1, [4, ""30""]], ""Y"": [1, [4, ""30""]]}",7,7,",TRS~U3D*YAs,{Kg:d!{"
9,motion_gotoxy,,"{""X"": [1, [4, ""20""]], ""Y"": [1, [4, ""30""]]}",8,8,ovbY0yjOweUb?i7*Jv2C
10,motion_gotoxy,,"{""X"": [1, [4, ""20""]], ""Y"": [1, [4, ""10""]]}",9,9,7NgsbZ!Na|:qTbl(0mSe
11,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""10""]]}",10,10,`zj8Q$3G%7MwD+:(DK8k
12,motion_gotoxy,,"{""X"": [1, [4, ""50""]], ""Y"": [1, [4, ""10""]]}",11,11,P]`+:Q(*yGf{Fjm^FfUt
13,motion_gotoxy,,"{""X"": [1, [4, ""90""]], ""Y"": [1, [4, ""0""]]}",12,12,-*)G`5*h3/64UwA)*`iA
14,motion_gotoxy,,"{""X"": [1, [4, ""110""]], ""Y"": [1, [4, ""-20""]]}",13,13,xXCP6#m.eXHqp.c/WhVL
15,motion_gotoxy,,"{""X"": [1, [4, ""110""]], ""Y"": [1, [4, ""-40""]]}",14,14,dh;$lrw2uJBMx%J@f5bj
16,motion_gotoxy,,"{""X"": [1, [4, ""40""]], ""Y"": [1, [4, ""-80""]]}",15,15,-nEmMR^G8cF~1?0nDm7e
17,motion_gotoxy,,"{""X"": [1, [4, ""20""]], ""Y"": [1, [4, ""-70""]]}",16,16,:%.S04($W(W{*E{Jp{7]
18,motion_gotoxy,,"{""X"": [1, [4, ""10""]], ""Y"": [1, [4, ""-90""]]}",17,17,+1w465D:o{6boQK%0y)5
19,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""-100""]]}",18,18,"g%CWGUN15g,)Z-h_J2x$"
20,motion_gotoxy,,"{""X"": [1, [4, ""-40""]], ""Y"": [1, [4, ""-100""]]}",19,19,~B+1uyC$}obS~vrE#S{[
21,motion_gotoxy,,"{""X"": [1, [4, ""-40""]], ""Y"": [1, [4, ""-80""]]}",20,20,4}%4gLg!}(JzA=RyakOe
22,motion_gotoxy,,"{""X"": [1, [4, ""-30""]], ""Y"": [1, [4, ""-40""]]}",21,21,"F,{*cWMZ*;-GiwO+k2*2"
23,motion_gotoxy,,"{""X"": [1, [4, ""-40""]], ""Y"": [1, [4, ""-50""]]}",22,22,)nGf}X%h.{=wOdsvv`Oa
