,BlockName,Key,Field,node_id,parent_id,hash
0,90,0,100,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,7*}XY|-Jt4/#4:Byp@:@
3,looks_show,,{},2,2,}YpbU+`]{Dkpzlj9AI?=
4,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""0""]]}",3,3,]l%W9kL^T%Z{d[3aUg%[
5,motion_setrotationstyle,,{},4,4,10Ar{De7dRX(h}}@Sua-
6,control_forever,,,5,5,JmJ%A:%cedT?Q}(#xq02
7,control_if,,,6,6,`?Qs.O`qJfsn)d=4hsZr
8,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",7,7,"+]S,;)Ypy2Q//O1VapzR"
9,control_if,,,8,6,`?Qs.O`qJfsn)d=4hsZr
10,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",9,7,"+]S,;)Ypy2Q//O1VapzR"
11,control_if,,,10,6,`?Qs.O`qJfsn)d=4hsZr
12,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",11,7,"+]S,;)Ypy2Q//O1VapzR"
13,control_if,,,12,6,`?Qs.O`qJfsn)d=4hsZr
14,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",13,7,"+]S,;)Ypy2Q//O1VapzR"
15,control_if,,,14,6,`?Qs.O`qJfsn)d=4hsZr
16,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",15,7,"+]S,;)Ypy2Q//O1VapzR"
17,control_if,,,16,6,`?Qs.O`qJfsn)d=4hsZr
18,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",17,7,"+]S,;)Ypy2Q//O1VapzR"
19,control_if,,,18,6,`?Qs.O`qJfsn)d=4hsZr
20,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",19,7,"+]S,;)Ypy2Q//O1VapzR"
21,control_if,,,20,6,`?Qs.O`qJfsn)d=4hsZr
22,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",21,7,"+]S,;)Ypy2Q//O1VapzR"
23,control_if,,,22,6,`?Qs.O`qJfsn)d=4hsZr
24,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",23,7,"+]S,;)Ypy2Q//O1VapzR"
25,control_if,,,24,6,`?Qs.O`qJfsn)d=4hsZr
26,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",25,7,"+]S,;)Ypy2Q//O1VapzR"
27,control_if,,,26,6,`?Qs.O`qJfsn)d=4hsZr
28,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",27,7,"+]S,;)Ypy2Q//O1VapzR"
29,control_if,,,28,6,`?Qs.O`qJfsn)d=4hsZr
30,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",29,7,"+]S,;)Ypy2Q//O1VapzR"
31,control_if,,,30,6,`?Qs.O`qJfsn)d=4hsZr
32,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",31,7,"+]S,;)Ypy2Q//O1VapzR"
33,control_if,,,32,6,`?Qs.O`qJfsn)d=4hsZr
34,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",33,7,"+]S,;)Ypy2Q//O1VapzR"
35,control_if,,,34,6,`?Qs.O`qJfsn)d=4hsZr
36,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",35,7,"+]S,;)Ypy2Q//O1VapzR"
37,control_if,,,36,6,`?Qs.O`qJfsn)d=4hsZr
38,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",37,7,"+]S,;)Ypy2Q//O1VapzR"
39,control_if,,,38,6,`?Qs.O`qJfsn)d=4hsZr
40,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",39,7,"+]S,;)Ypy2Q//O1VapzR"
41,control_if,,,40,6,`?Qs.O`qJfsn)d=4hsZr
42,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",41,7,"+]S,;)Ypy2Q//O1VapzR"
43,control_if,,,42,6,`?Qs.O`qJfsn)d=4hsZr
44,motion_changeyby,,"{""DY"": [1, [4, ""10""]]}",43,7,"+]S,;)Ypy2Q//O1VapzR"
45,control_if,,,44,6,`?Qs.O`qJfsn)d=4hsZr
