,BlockName,Key,Field,node_id,parent_id,hash
0,90,57,-75,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,"WD`,fZ[faT7a:3X@H$:T"
3,motion_gotoxy,,"{""X"": [1, [4, ""-180""]], ""Y"": [1, [4, ""-152""]]}",2,2,oZTD#|RuyFi_uJuZWM3$
4,motion_glidesecstoxy,,"{""SECS"": [1, [4, ""2""]], ""X"": [1, [4, ""57""]], ""Y"": [1, [4, ""-75""]]}",3,3,M$Xq`^$$M;DM(+Lf7@A6
5,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",4,4,"t8B(C/,Y7qetMTFt}W*!"
6,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""Au au!""]], ""SECS"": [1, [4, ""2""]]}",5,5,|Bs(5M7gEx#AK60iYN`y
7,control_wait,,"{""DURATION"": [1, [5, ""2""]]}",6,6,b-~=Y[.c{YRFjUYji5Hw
8,looks_sayforsecs,,"{""MESSAGE"": [1, [10, "":O""]], ""SECS"": [1, [4, ""1""]]}",7,7,;Sa2}N=}}UAA(3zIOnm-
