,BlockName,Key,Field,node_id,parent_id,hash
0,12,134,17,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,6:?ZfI4V7{pR^C$ZP/F=
3,control_forever,,,2,2,"Nq}uM/[PzzvjGc,TBfFF"
4,control_wait,,"{""DURATION"": [1, [5, ""0.25""]]}",3,3,xLmjU*Ca~a:=vfyc7|^W
5,sound_play,,"{""SOUND_MENU"": [1, ""jfb$ElTcWs`QVi1+?t$m""]}",4,4,]sQy3WJ6m]TtN%+p`EHn
6,motion_goto,,"{""TO"": [1, ""H|.:8C1AvalI{ew5N)_!""]}",5,5,"g-M:CXpYDu;bGrtP,X.8"
7,motion_turnright,,"{""DEGREES"": [1, [4, ""5""]]}",6,6,Lf*qPt.ND2ou-WZKTE~6
8,control_wait,,"{""DURATION"": [1, [5, ""0.25""]]}",7,3,xLmjU*Ca~a:=vfyc7|^W
9,sound_play,,"{""SOUND_MENU"": [1, ""jfb$ElTcWs`QVi1+?t$m""]}",8,4,]sQy3WJ6m]TtN%+p`EHn
10,motion_goto,,"{""TO"": [1, ""H|.:8C1AvalI{ew5N)_!""]}",9,5,"g-M:CXpYDu;bGrtP,X.8"
11,motion_turnright,,"{""DEGREES"": [1, [4, ""5""]]}",10,6,Lf*qPt.ND2ou-WZKTE~6
12,control_wait,,"{""DURATION"": [1, [5, ""0.25""]]}",11,3,xLmjU*Ca~a:=vfyc7|^W
13,sound_play,,"{""SOUND_MENU"": [1, ""jfb$ElTcWs`QVi1+?t$m""]}",12,4,]sQy3WJ6m]TtN%+p`EHn
14,motion_goto,,"{""TO"": [1, ""H|.:8C1AvalI{ew5N)_!""]}",13,5,"g-M:CXpYDu;bGrtP,X.8"
15,motion_turnright,,"{""DEGREES"": [1, [4, ""5""]]}",14,6,Lf*qPt.ND2ou-WZKTE~6
16,control_wait,,"{""DURATION"": [1, [5, ""0.25""]]}",15,3,xLmjU*Ca~a:=vfyc7|^W
17,sound_play,,"{""SOUND_MENU"": [1, ""jfb$ElTcWs`QVi1+?t$m""]}",16,4,]sQy3WJ6m]TtN%+p`EHn
18,motion_goto,,"{""TO"": [1, ""H|.:8C1AvalI{ew5N)_!""]}",17,5,"g-M:CXpYDu;bGrtP,X.8"
19,motion_turnright,,"{""DEGREES"": [1, [4, ""5""]]}",18,6,Lf*qPt.ND2ou-WZKTE~6
20,control_wait,,"{""DURATION"": [1, [5, ""0.25""]]}",19,3,xLmjU*Ca~a:=vfyc7|^W
21,sound_play,,"{""SOUND_MENU"": [1, ""jfb$ElTcWs`QVi1+?t$m""]}",20,4,]sQy3WJ6m]TtN%+p`EHn
22,motion_goto,,"{""TO"": [1, ""H|.:8C1AvalI{ew5N)_!""]}",21,5,"g-M:CXpYDu;bGrtP,X.8"
23,motion_turnright,,"{""DEGREES"": [1, [4, ""5""]]}",22,6,Lf*qPt.ND2ou-WZKTE~6
