,BlockName,Key,Field,node_id,parent_id,hash
0,90,-192,-138,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,mYWmB}2xk[Uk8hE|E84/
3,data_setvariableto,,,2,2,%fi2A_#S9`!W4Y]X^~au
4,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [1, [10, ""karşıdaki elmayı  robotu kullanıp bana getiirmisin""]]}",3,3,Hr{f1wEp7qUWQ(q{X3n0
5,motion_gotoxy,,"{""X"": [1, [4, ""-192""]], ""Y"": [1, [4, ""-138""]]}",4,4,fiaG3U`E=gDS}aRHw8Wt
6,control_forever,,,5,5,`ZWCO4p7xsOo~%YnsWZE
7,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",6,6,n#e-5.H]_Qec|hZ.mjh]
8,data_changevariableby,,,7,7,`kv9;Q|dkn=`0Rs]hb2b
9,control_if,,,8,8,]s^r%)NPoRi5jvj]/x{8
10,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",9,9,EX)/{|`hBdot|7@nlCoR
11,control_stop,,{},10,10,v~HZ^Pex-`K5o|O{YtDo
12,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",11,6,n#e-5.H]_Qec|hZ.mjh]
13,data_changevariableby,,,12,7,`kv9;Q|dkn=`0Rs]hb2b
14,control_if,,,13,8,]s^r%)NPoRi5jvj]/x{8
15,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",14,9,EX)/{|`hBdot|7@nlCoR
16,control_stop,,{},15,10,v~HZ^Pex-`K5o|O{YtDo
17,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",16,6,n#e-5.H]_Qec|hZ.mjh]
18,data_changevariableby,,,17,7,`kv9;Q|dkn=`0Rs]hb2b
19,control_if,,,18,8,]s^r%)NPoRi5jvj]/x{8
20,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",19,9,EX)/{|`hBdot|7@nlCoR
21,control_stop,,{},20,10,v~HZ^Pex-`K5o|O{YtDo
22,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",21,6,n#e-5.H]_Qec|hZ.mjh]
23,data_changevariableby,,,22,7,`kv9;Q|dkn=`0Rs]hb2b
24,control_if,,,23,8,]s^r%)NPoRi5jvj]/x{8
25,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",24,9,EX)/{|`hBdot|7@nlCoR
26,control_stop,,{},25,10,v~HZ^Pex-`K5o|O{YtDo
27,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",26,6,n#e-5.H]_Qec|hZ.mjh]
28,data_changevariableby,,,27,7,`kv9;Q|dkn=`0Rs]hb2b
29,control_if,,,28,8,]s^r%)NPoRi5jvj]/x{8
30,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",29,9,EX)/{|`hBdot|7@nlCoR
31,control_stop,,{},30,10,v~HZ^Pex-`K5o|O{YtDo
32,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",31,6,n#e-5.H]_Qec|hZ.mjh]
33,data_changevariableby,,,32,7,`kv9;Q|dkn=`0Rs]hb2b
34,control_if,,,33,8,]s^r%)NPoRi5jvj]/x{8
35,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",34,9,EX)/{|`hBdot|7@nlCoR
36,control_stop,,{},35,10,v~HZ^Pex-`K5o|O{YtDo
37,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",36,6,n#e-5.H]_Qec|hZ.mjh]
38,data_changevariableby,,,37,7,`kv9;Q|dkn=`0Rs]hb2b
39,control_if,,,38,8,]s^r%)NPoRi5jvj]/x{8
40,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",39,9,EX)/{|`hBdot|7@nlCoR
41,control_stop,,{},40,10,v~HZ^Pex-`K5o|O{YtDo
42,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",41,6,n#e-5.H]_Qec|hZ.mjh]
43,data_changevariableby,,,42,7,`kv9;Q|dkn=`0Rs]hb2b
44,control_if,,,43,8,]s^r%)NPoRi5jvj]/x{8
45,looks_sayforsecs,,"{""SECS"": [1, [4, ""2""]], ""MESSAGE"": [3, ""+`Ue$zc)I^oYFnF)Yk#/"", [10, ""Merhaba!""]]}",44,9,EX)/{|`hBdot|7@nlCoR
46,control_stop,,{},45,10,v~HZ^Pex-`K5o|O{YtDo
47,control_wait,,"{""DURATION"": [1, [5, ""1""]]}",46,6,n#e-5.H]_Qec|hZ.mjh]
48,data_changevariableby,,,47,7,`kv9;Q|dkn=`0Rs]hb2b
