,BlockName,Key,Field,node_id,parent_id,hash
0,-79,143,-91,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,4[s=AzcPyg^@X{~nhohx
3,control_forever,,,2,2,o@iB1jTk(R@/}8QSz+v%
4,looks_gotofrontback,,{},3,3,q]@ELBBh7SvxT[4`Ng/K
5,control_if,,,4,4,GAx69*:I=q@9piEAH1N;
6,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",5,5,0]Hj]B(YJ`ilWFF4-#Wi
7,looks_gotofrontback,,{},6,3,q]@ELBBh7SvxT[4`Ng/K
8,control_if,,,7,4,GAx69*:I=q@9piEAH1N;
9,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",8,5,0]Hj]B(YJ`ilWFF4-#Wi
10,looks_gotofrontback,,{},9,3,q]@ELBBh7SvxT[4`Ng/K
11,control_if,,,10,4,GAx69*:I=q@9piEAH1N;
12,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",11,5,0]Hj]B(YJ`ilWFF4-#Wi
13,looks_gotofrontback,,{},12,3,q]@ELBBh7SvxT[4`Ng/K
14,control_if,,,13,4,GAx69*:I=q@9piEAH1N;
15,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",14,5,0]Hj]B(YJ`ilWFF4-#Wi
16,looks_gotofrontback,,{},15,3,q]@ELBBh7SvxT[4`Ng/K
17,control_if,,,16,4,GAx69*:I=q@9piEAH1N;
18,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",17,5,0]Hj]B(YJ`ilWFF4-#Wi
19,looks_gotofrontback,,{},18,3,q]@ELBBh7SvxT[4`Ng/K
20,control_if,,,19,4,GAx69*:I=q@9piEAH1N;
21,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",20,5,0]Hj]B(YJ`ilWFF4-#Wi
22,looks_gotofrontback,,{},21,3,q]@ELBBh7SvxT[4`Ng/K
23,control_if,,,22,4,GAx69*:I=q@9piEAH1N;
24,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",23,5,0]Hj]B(YJ`ilWFF4-#Wi
25,looks_gotofrontback,,{},24,3,q]@ELBBh7SvxT[4`Ng/K
26,control_if,,,25,4,GAx69*:I=q@9piEAH1N;
27,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",26,5,0]Hj]B(YJ`ilWFF4-#Wi
28,looks_gotofrontback,,{},27,3,q]@ELBBh7SvxT[4`Ng/K
29,control_if,,,28,4,GAx69*:I=q@9piEAH1N;
30,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",29,5,0]Hj]B(YJ`ilWFF4-#Wi
31,looks_gotofrontback,,{},30,3,q]@ELBBh7SvxT[4`Ng/K
32,control_if,,,31,4,GAx69*:I=q@9piEAH1N;
33,motion_turnright,,"{""DEGREES"": [1, [4, ""1""]]}",32,5,0]Hj]B(YJ`ilWFF4-#Wi
