,BlockName,Key,Field,node_id,parent_id,hash
0,90,6.123233995736766e-15,1.4210854715202004e-14,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,fL%FEl$?_sli.I#M/:/^
3,pen_clear,,{},2,2,*Jj#m2X8$Wqcfnd:3!g9
4,pen_penDown,,{},3,3,O?IR)h2#c(x$d{)?q$?G
5,pen_setPenColorToColor,,"{""COLOR"": [1, [9, ""#1cefff""]]}",4,4,my(G$CKOKBHU7;=J495;
6,pen_setPenSizeTo,,"{""SIZE"": [1, [4, ""5""]]}",5,5,.2fmX2XC?k6bS~O=`H*k
7,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""0""]]}",6,6,pb9BAJveQ_uH7KWh;Ar}
8,motion_movesteps,,"{""STEPS"": [1, [4, ""100""]]}",7,7,CWeA5$`rG#`Xd^arTC|n
9,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""90""]]}",8,8,"Q)X)/x#SfeJ,]jGjkQZU"
10,motion_turnleft,,"{""DEGREES"": [1, [4, ""90""]]}",9,9,85KKoo}v9y7?5Unm:Q0c
11,motion_movesteps,,"{""STEPS"": [1, [4, ""100""]]}",10,10,=F4WPGiz25t-r$XhLp4@
12,motion_turnleft,,"{""DEGREES"": [1, [4, ""90""]]}",11,11,GyOmIAB?=9FH_o4un{9p
13,motion_movesteps,,"{""STEPS"": [1, [4, ""100""]]}",12,12,lN3@}%+9$GIVV^##T]kZ
14,motion_turnleft,,"{""DEGREES"": [1, [4, ""90""]]}",13,13,f]:Y(l7JApNvdN+hP#{#
15,motion_movesteps,,"{""STEPS"": [1, [4, ""100""]]}",14,14,sZa_M1+!Z+ap/aJx8sQ?
16,motion_turnleft,,"{""DEGREES"": [1, [4, ""90""]]}",15,15,"kbgNGsN_1hO@1,Lk72EU"
