,BlockName,Key,Field,node_id,parent_id,hash
0,-135,74.11626436313745,49.49747468305867,,,
1,SCRIPT,,,0,0,
2,event_whenkeypressed,space,,1,0,Yp%V*V]M`6J~$N9QZ=?=
3,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""0""]]}",2,2,}v%@+iOcqX=BuZVA-{tZ
4,motion_pointindirection,,"{""DIRECTION"": [3, ""qdC^{=A+cW~{7D1[]U=g"", [8, ""-90""]]}",3,3,"?J,1rg^4(N2aUW@g!-Z_"
5,control_forever,,,4,4,A{WzMz5mXf)u3lzy?2$$
6,motion_ifonedgebounce,,{},5,5,q0erq]WiqcK=8vQSJAuh
7,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",6,6,HU.xsSM-:8d_)VXCZ5%!
8,control_if,,,7,7,}ozjjsUOl}O=GF~e[W`@
9,control_stop,,{},8,8,1n^0NKh1ll$qs3O}bz@-
10,motion_ifonedgebounce,,{},9,5,q0erq]WiqcK=8vQSJAuh
11,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",10,6,HU.xsSM-:8d_)VXCZ5%!
12,control_if,,,11,7,}ozjjsUOl}O=GF~e[W`@
13,control_stop,,{},12,8,1n^0NKh1ll$qs3O}bz@-
14,motion_ifonedgebounce,,{},13,5,q0erq]WiqcK=8vQSJAuh
15,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",14,6,HU.xsSM-:8d_)VXCZ5%!
16,control_if,,,15,7,}ozjjsUOl}O=GF~e[W`@
17,control_stop,,{},16,8,1n^0NKh1ll$qs3O}bz@-
18,motion_ifonedgebounce,,{},17,5,q0erq]WiqcK=8vQSJAuh
19,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",18,6,HU.xsSM-:8d_)VXCZ5%!
20,control_if,,,19,7,}ozjjsUOl}O=GF~e[W`@
21,control_stop,,{},20,8,1n^0NKh1ll$qs3O}bz@-
22,motion_ifonedgebounce,,{},21,5,q0erq]WiqcK=8vQSJAuh
23,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",22,6,HU.xsSM-:8d_)VXCZ5%!
24,control_if,,,23,7,}ozjjsUOl}O=GF~e[W`@
25,control_stop,,{},24,8,1n^0NKh1ll$qs3O}bz@-
26,motion_ifonedgebounce,,{},25,5,q0erq]WiqcK=8vQSJAuh
27,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",26,6,HU.xsSM-:8d_)VXCZ5%!
28,control_if,,,27,7,}ozjjsUOl}O=GF~e[W`@
29,control_stop,,{},28,8,1n^0NKh1ll$qs3O}bz@-
30,motion_ifonedgebounce,,{},29,5,q0erq]WiqcK=8vQSJAuh
31,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",30,6,HU.xsSM-:8d_)VXCZ5%!
32,control_if,,,31,7,}ozjjsUOl}O=GF~e[W`@
33,control_stop,,{},32,8,1n^0NKh1ll$qs3O}bz@-
34,motion_ifonedgebounce,,{},33,5,q0erq]WiqcK=8vQSJAuh
35,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",34,6,HU.xsSM-:8d_)VXCZ5%!
36,control_if,,,35,7,}ozjjsUOl}O=GF~e[W`@
37,control_stop,,{},36,8,1n^0NKh1ll$qs3O}bz@-
38,motion_ifonedgebounce,,{},37,5,q0erq]WiqcK=8vQSJAuh
39,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",38,6,HU.xsSM-:8d_)VXCZ5%!
40,control_if,,,39,7,}ozjjsUOl}O=GF~e[W`@
41,control_stop,,{},40,8,1n^0NKh1ll$qs3O}bz@-
42,motion_ifonedgebounce,,{},41,5,q0erq]WiqcK=8vQSJAuh
43,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",42,6,HU.xsSM-:8d_)VXCZ5%!
44,control_if,,,43,7,}ozjjsUOl}O=GF~e[W`@
45,control_stop,,{},44,8,1n^0NKh1ll$qs3O}bz@-
46,motion_ifonedgebounce,,{},45,5,q0erq]WiqcK=8vQSJAuh
47,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",46,6,HU.xsSM-:8d_)VXCZ5%!
48,control_if,,,47,7,}ozjjsUOl}O=GF~e[W`@
49,control_stop,,{},48,8,1n^0NKh1ll$qs3O}bz@-
50,motion_ifonedgebounce,,{},49,5,q0erq]WiqcK=8vQSJAuh
51,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",50,6,HU.xsSM-:8d_)VXCZ5%!
52,control_if,,,51,7,}ozjjsUOl}O=GF~e[W`@
53,control_stop,,{},52,8,1n^0NKh1ll$qs3O}bz@-
54,motion_ifonedgebounce,,{},53,5,q0erq]WiqcK=8vQSJAuh
55,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",54,6,HU.xsSM-:8d_)VXCZ5%!
56,control_if,,,55,7,}ozjjsUOl}O=GF~e[W`@
57,control_stop,,{},56,8,1n^0NKh1ll$qs3O}bz@-
58,motion_ifonedgebounce,,{},57,5,q0erq]WiqcK=8vQSJAuh
59,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",58,6,HU.xsSM-:8d_)VXCZ5%!
60,control_if,,,59,7,}ozjjsUOl}O=GF~e[W`@
61,control_stop,,{},60,8,1n^0NKh1ll$qs3O}bz@-
62,motion_ifonedgebounce,,{},61,5,q0erq]WiqcK=8vQSJAuh
63,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",62,6,HU.xsSM-:8d_)VXCZ5%!
64,control_if,,,63,7,}ozjjsUOl}O=GF~e[W`@
65,control_stop,,{},64,8,1n^0NKh1ll$qs3O}bz@-
66,motion_ifonedgebounce,,{},65,5,q0erq]WiqcK=8vQSJAuh
67,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",66,6,HU.xsSM-:8d_)VXCZ5%!
68,control_if,,,67,7,}ozjjsUOl}O=GF~e[W`@
69,control_stop,,{},68,8,1n^0NKh1ll$qs3O}bz@-
70,motion_ifonedgebounce,,{},69,5,q0erq]WiqcK=8vQSJAuh
71,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",70,6,HU.xsSM-:8d_)VXCZ5%!
72,control_if,,,71,7,}ozjjsUOl}O=GF~e[W`@
73,control_stop,,{},72,8,1n^0NKh1ll$qs3O}bz@-
74,motion_ifonedgebounce,,{},73,5,q0erq]WiqcK=8vQSJAuh
75,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",74,6,HU.xsSM-:8d_)VXCZ5%!
76,control_if,,,75,7,}ozjjsUOl}O=GF~e[W`@
77,control_stop,,{},76,8,1n^0NKh1ll$qs3O}bz@-
78,motion_ifonedgebounce,,{},77,5,q0erq]WiqcK=8vQSJAuh
79,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",78,6,HU.xsSM-:8d_)VXCZ5%!
80,control_if,,,79,7,}ozjjsUOl}O=GF~e[W`@
81,control_stop,,{},80,8,1n^0NKh1ll$qs3O}bz@-
82,motion_ifonedgebounce,,{},81,5,q0erq]WiqcK=8vQSJAuh
83,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",82,6,HU.xsSM-:8d_)VXCZ5%!
84,control_if,,,83,7,}ozjjsUOl}O=GF~e[W`@
85,control_stop,,{},84,8,1n^0NKh1ll$qs3O}bz@-
86,motion_ifonedgebounce,,{},85,5,q0erq]WiqcK=8vQSJAuh
87,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",86,6,HU.xsSM-:8d_)VXCZ5%!
88,control_if,,,87,7,}ozjjsUOl}O=GF~e[W`@
89,control_stop,,{},88,8,1n^0NKh1ll$qs3O}bz@-
90,motion_ifonedgebounce,,{},89,5,q0erq]WiqcK=8vQSJAuh
91,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",90,6,HU.xsSM-:8d_)VXCZ5%!
