,BlockName,Key,Field,node_id,parent_id,hash
0,-25.827337154585038,-182.09689934181432,153.3411223759845,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,+zI-?@s=6|t7zClCr-p+
3,control_forever,,,2,2,"s?=4@MY+/~2b~}|#a,(+"
4,control_if,,,3,3,0;}U)X.ZwJ.?e(z{[`oQ
5,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",4,4,Nr#;ptZE)5DnGx|PFB?J
6,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",5,5,";50H+:X$!Co1,U+9GtsG"
7,control_if,,,6,3,0;}U)X.ZwJ.?e(z{[`oQ
8,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",7,4,Nr#;ptZE)5DnGx|PFB?J
9,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",8,5,";50H+:X$!Co1,U+9GtsG"
10,control_if,,,9,3,0;}U)X.ZwJ.?e(z{[`oQ
11,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",10,4,Nr#;ptZE)5DnGx|PFB?J
12,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",11,5,";50H+:X$!Co1,U+9GtsG"
13,control_if,,,12,3,0;}U)X.ZwJ.?e(z{[`oQ
14,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",13,4,Nr#;ptZE)5DnGx|PFB?J
15,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",14,5,";50H+:X$!Co1,U+9GtsG"
16,control_if,,,15,3,0;}U)X.ZwJ.?e(z{[`oQ
17,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",16,4,Nr#;ptZE)5DnGx|PFB?J
18,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",17,5,";50H+:X$!Co1,U+9GtsG"
19,control_if,,,18,3,0;}U)X.ZwJ.?e(z{[`oQ
20,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",19,4,Nr#;ptZE)5DnGx|PFB?J
21,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",20,5,";50H+:X$!Co1,U+9GtsG"
22,control_if,,,21,3,0;}U)X.ZwJ.?e(z{[`oQ
23,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",22,4,Nr#;ptZE)5DnGx|PFB?J
24,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",23,5,";50H+:X$!Co1,U+9GtsG"
25,control_if,,,24,3,0;}U)X.ZwJ.?e(z{[`oQ
26,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",25,4,Nr#;ptZE)5DnGx|PFB?J
27,motion_movesteps,,"{""STEPS"": [1, [4, ""10""]]}",26,5,";50H+:X$!Co1,U+9GtsG"
28,control_if,,,27,3,0;}U)X.ZwJ.?e(z{[`oQ
29,motion_pointtowards,,"{""TOWARDS"": [1, ""a+h^A9`D#/Bk68cljAFx""]}",28,4,Nr#;ptZE)5DnGx|PFB?J
