,BlockName,Key,Field,node_id,parent_id,hash
0,-90,-151,113,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,`%g*f@j#1o0p}^{l0W(|
3,procedures_call,,,2,2,.Kx3|t7ZLry%#zwYS+pG
4,procedures_definition,,,2,0,(#=K~03=(VEpvxlUFdmW
5,looks_setsizeto,,"{""SIZE"": [1, [4, ""25""]]}",3,4,AR7M~^:S6nor]?xVF|Bp
6,motion_gotoxy,,"{""X"": [1, [4, ""-190""]], ""Y"": [1, [4, ""-130""]]}",4,5,X|!+3ryK18.Mvn{TULbO
7,motion_setrotationstyle,,{},5,6,YbT*wRiOgbs0]!_Iu%MM
8,control_forever,,,6,3,EZu3B$?-{W.P.dhUr!#7
9,procedures_call,,,7,8,2$4IcUl)X2A!:EJa4R=s
10,procedures_definition,,,7,0,nFo4idN[QE|Goj0yEK-s
11,control_if,,,8,10,t]E{^Tj5umKFJ:`2#TnJ
12,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",9,11,"|EP1a,}]ev6%2TkXJZPJ"
13,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",10,12,r#4Q5|uVQQSr6.5I:=87
14,control_if,,,11,13,ksO5@AB}~k;iIZjnOQA)
15,motion_movesteps,,"{""STEPS"": [1, [4, ""-3""]]}",12,14,yOkjZ0%ANc7/=PN1UUSk
16,procedures_call,,,13,9,bHwePzp_u+9@pl5RI%hJ
17,procedures_definition,,,13,0,XQ7la+]lt=fvruG+PK=X
18,control_if,,,14,17,J%0IaY.(;F6;|ojNXFeG
19,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""fishhhh""]], ""SECS"": [1, [4, ""1""]]}",15,18,vI2W]dggt^T:ye3yGN2V
20,procedures_call,,,16,8,2$4IcUl)X2A!:EJa4R=s
21,procedures_definition,,,16,0,nFo4idN[QE|Goj0yEK-s
22,control_if,,,17,10,t]E{^Tj5umKFJ:`2#TnJ
23,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",18,11,"|EP1a,}]ev6%2TkXJZPJ"
24,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",19,12,r#4Q5|uVQQSr6.5I:=87
25,control_if,,,20,13,ksO5@AB}~k;iIZjnOQA)
26,motion_movesteps,,"{""STEPS"": [1, [4, ""-3""]]}",21,14,yOkjZ0%ANc7/=PN1UUSk
27,procedures_call,,,22,9,bHwePzp_u+9@pl5RI%hJ
28,procedures_definition,,,22,0,XQ7la+]lt=fvruG+PK=X
29,control_if,,,23,17,J%0IaY.(;F6;|ojNXFeG
30,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""fishhhh""]], ""SECS"": [1, [4, ""1""]]}",24,18,vI2W]dggt^T:ye3yGN2V
31,procedures_call,,,25,8,2$4IcUl)X2A!:EJa4R=s
32,procedures_definition,,,25,0,nFo4idN[QE|Goj0yEK-s
33,control_if,,,26,10,t]E{^Tj5umKFJ:`2#TnJ
34,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",27,11,"|EP1a,}]ev6%2TkXJZPJ"
35,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",28,12,r#4Q5|uVQQSr6.5I:=87
36,control_if,,,29,13,ksO5@AB}~k;iIZjnOQA)
37,motion_movesteps,,"{""STEPS"": [1, [4, ""-3""]]}",30,14,yOkjZ0%ANc7/=PN1UUSk
38,procedures_call,,,31,9,bHwePzp_u+9@pl5RI%hJ
39,procedures_definition,,,31,0,XQ7la+]lt=fvruG+PK=X
40,control_if,,,32,17,J%0IaY.(;F6;|ojNXFeG
41,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""fishhhh""]], ""SECS"": [1, [4, ""1""]]}",33,18,vI2W]dggt^T:ye3yGN2V
42,procedures_call,,,34,8,2$4IcUl)X2A!:EJa4R=s
43,procedures_definition,,,34,0,nFo4idN[QE|Goj0yEK-s
44,control_if,,,35,10,t]E{^Tj5umKFJ:`2#TnJ
45,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",36,11,"|EP1a,}]ev6%2TkXJZPJ"
46,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",37,12,r#4Q5|uVQQSr6.5I:=87
47,control_if,,,38,13,ksO5@AB}~k;iIZjnOQA)
48,motion_movesteps,,"{""STEPS"": [1, [4, ""-3""]]}",39,14,yOkjZ0%ANc7/=PN1UUSk
49,procedures_call,,,40,9,bHwePzp_u+9@pl5RI%hJ
50,procedures_definition,,,40,0,XQ7la+]lt=fvruG+PK=X
51,control_if,,,41,17,J%0IaY.(;F6;|ojNXFeG
52,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""fishhhh""]], ""SECS"": [1, [4, ""1""]]}",42,18,vI2W]dggt^T:ye3yGN2V
53,procedures_call,,,43,8,2$4IcUl)X2A!:EJa4R=s
54,procedures_definition,,,43,0,nFo4idN[QE|Goj0yEK-s
55,control_if,,,44,10,t]E{^Tj5umKFJ:`2#TnJ
56,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",45,11,"|EP1a,}]ev6%2TkXJZPJ"
57,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",46,12,r#4Q5|uVQQSr6.5I:=87
58,control_if,,,47,13,ksO5@AB}~k;iIZjnOQA)
59,motion_movesteps,,"{""STEPS"": [1, [4, ""-3""]]}",48,14,yOkjZ0%ANc7/=PN1UUSk
60,procedures_call,,,49,9,bHwePzp_u+9@pl5RI%hJ
61,procedures_definition,,,49,0,XQ7la+]lt=fvruG+PK=X
62,control_if,,,50,17,J%0IaY.(;F6;|ojNXFeG
63,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""fishhhh""]], ""SECS"": [1, [4, ""1""]]}",51,18,vI2W]dggt^T:ye3yGN2V
64,procedures_call,,,52,8,2$4IcUl)X2A!:EJa4R=s
65,procedures_definition,,,52,0,nFo4idN[QE|Goj0yEK-s
66,control_if,,,53,10,t]E{^Tj5umKFJ:`2#TnJ
67,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""0""]]}",54,11,"|EP1a,}]ev6%2TkXJZPJ"
68,motion_movesteps,,"{""STEPS"": [1, [4, ""3""]]}",55,12,r#4Q5|uVQQSr6.5I:=87
69,control_if,,,56,13,ksO5@AB}~k;iIZjnOQA)
