,BlockName,Key,Field,node_id,parent_id,hash
0,90,-161,-86,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,Ph7XkA{S:2N:([RA6%~5
3,motion_gotoxy,,"{""X"": [1, [4, ""-161""]], ""Y"": [1, [4, ""-86""]]}",2,2,A0fRcPSPlKa#dV({v4qz
4,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""ola""]], ""SECS"": [1, [4, ""1""]]}",3,3,n9YqP!Tj]$rQs%uXsJi9
5,SCRIPT,,,0,4,
6,event_broadcast,,,1,4,i9-ckVGl]!4Rep8A/1vt
7,SCRIPT,,,0,4,
8,event_broadcast,,,1,4,i9-ckVGl]!4Rep8A/1vt
9,SCRIPT,,,0,0,
10,event_whenbroadcastreceived,,,1,0,.j{dxNI5Ey0a@SHn#d(R
11,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""hallo doei""]], ""SECS"": [1, [4, ""1""]]}",2,10,Xu%-Y_^r_UF[8kdpOn?;
