,BlockName,Key,Field,node_id,parent_id,hash
0,-0.18482445412149673,0,-130,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,+@Tb=9sWDT+A6pCI/J2C
3,data_setvariableto,,,2,2,]H{/;vEw}!2?QDb;u5K6
4,sensing_resettimer,,{},3,3,bi)6:3-v8Rk_.;3.581P
5,looks_setsizeto,,"{""SIZE"": [1, [4, ""15""]]}",4,4,"SWXf1y04(,e1A8V,w]gz"
6,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""-130""]]}",5,5,"@/e;!],!5p^^CERfyy9g"
7,control_repeat_until,,"{""CONDITION"": [2, ""P,?~q$dMhJlB41k/-]/H""], ""SUBSTACK"": [2, ""N_fuYDA!)Z[[xDw7,6sr""]}",6,6,n0r~KqZJ.0dg{$JZFg+A
8,looks_say,,"{""MESSAGE"": [3, ""2GckroiV8295v,}u;^2T"", [10, ""Hello!""]]}",7,7,Q^.ka_|;h![74?8Wydrz
