,BlockName,Key,Field,node_id,parent_id,hash
0,90,162.00000762939453,-110.99999999725503,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,i716)whr98+MdD^E@|vm
3,control_forever,,,2,2,4VgF~(X%+O0r(LV!;h:]
58,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",57,3,"B/C%fee.vuY;),0h4{_X"
59,motion_ifonedgebounce,,{},58,4,:Ooobsk;2Qc:^)?6.@S=
60,control_if,,,59,5,Q/kiV-}/_2LsUtxc[de;
61,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",60,3,"B/C%fee.vuY;),0h4{_X"
62,motion_ifonedgebounce,,{},61,4,:Ooobsk;2Qc:^)?6.@S=
63,control_if,,,62,5,Q/kiV-}/_2LsUtxc[de;
64,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",63,3,"B/C%fee.vuY;),0h4{_X"
65,motion_ifonedgebounce,,{},64,4,:Ooobsk;2Qc:^)?6.@S=
66,control_if,,,65,5,Q/kiV-}/_2LsUtxc[de;
67,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",66,3,"B/C%fee.vuY;),0h4{_X"
68,motion_ifonedgebounce,,{},67,4,:Ooobsk;2Qc:^)?6.@S=
69,control_if,,,68,5,Q/kiV-}/_2LsUtxc[de;
70,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",69,3,"B/C%fee.vuY;),0h4{_X"
71,motion_ifonedgebounce,,{},70,4,:Ooobsk;2Qc:^)?6.@S=
72,control_if,,,71,5,Q/kiV-}/_2LsUtxc[de;
73,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",72,3,"B/C%fee.vuY;),0h4{_X"
74,motion_ifonedgebounce,,{},73,4,:Ooobsk;2Qc:^)?6.@S=
75,control_if,,,74,5,Q/kiV-}/_2LsUtxc[de;
76,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",75,3,"B/C%fee.vuY;),0h4{_X"
77,motion_ifonedgebounce,,{},76,4,:Ooobsk;2Qc:^)?6.@S=
78,control_if,,,77,5,Q/kiV-}/_2LsUtxc[de;
79,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",78,3,"B/C%fee.vuY;),0h4{_X"
80,motion_ifonedgebounce,,{},79,4,:Ooobsk;2Qc:^)?6.@S=
81,control_if,,,80,5,Q/kiV-}/_2LsUtxc[de;
82,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",81,3,"B/C%fee.vuY;),0h4{_X"
83,motion_ifonedgebounce,,{},82,4,:Ooobsk;2Qc:^)?6.@S=
84,control_if,,,83,5,Q/kiV-}/_2LsUtxc[de;
85,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",84,3,"B/C%fee.vuY;),0h4{_X"
86,motion_ifonedgebounce,,{},85,4,:Ooobsk;2Qc:^)?6.@S=
87,control_if,,,86,5,Q/kiV-}/_2LsUtxc[de;
88,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",87,3,"B/C%fee.vuY;),0h4{_X"
89,motion_ifonedgebounce,,{},88,4,:Ooobsk;2Qc:^)?6.@S=
90,control_if,,,89,5,Q/kiV-}/_2LsUtxc[de;
91,motion_movesteps,,"{""STEPS"": [1, [4, ""6""]]}",90,3,"B/C%fee.vuY;),0h4{_X"
92,motion_ifonedgebounce,,{},91,4,:Ooobsk;2Qc:^)?6.@S=
93,control_if,,,92,5,Q/kiV-}/_2LsUtxc[de;
