,BlockName,Key,Field,node_id,parent_id,hash
0,-105,0,-180,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,c*:n;q.PqPgu6@5p^5gA
3,pen_clear,,{},2,2,oL:j`U!d{co_+3IO/:|.
4,motion_gotoxy,,"{""X"": [1, [4, ""-240""]], ""Y"": [1, [4, ""0""]]}",3,3,p!s~`;$(W@vP~gw@saDN
5,pen_penDown,,{},4,4,",)hvC$+E@l6/WZxYGx!_"
6,motion_gotoxy,,"{""X"": [1, [4, ""240""]], ""Y"": [1, [4, ""0""]]}",5,5,"0V,mMnu_5O=$`h-CaLx]"
7,pen_penUp,,{},6,6,#$3+oIy!|f$Wy$.Lhl+y
8,motion_gotoxy,,"{""X"": [1, [4, ""0""]], ""Y"": [1, [4, ""-180""]]}",7,7,"$nD^e];M?q1o}NLZ,$)z"
