,BlockName,Key,Field,node_id,parent_id,hash
0,-120,-16.113980110641254,104.84331679007406,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,/u#b3/a=c4gN]?ROax(4
3,motion_gotoxy,,"{""X"": [1, [4, ""-80""]], ""Y"": [1, [4, ""50""]]}",2,2,NqD+zj;=fh]O34a$43?S
4,motion_pointindirection,,"{""DIRECTION"": [1, [8, ""90""]]}",3,3,"4v}R385U,:Hc!9+oe$N]"
5,pen_clear,,{},4,4,"1.u#/~SKs;(~Dyj,@osY"
6,pen_setPenSizeTo,,"{""SIZE"": [1, [4, ""20""]]}",5,5,x:W^Y/~qLOs+.VJp7W]6
7,pen_changePenColorParamBy,,"{""COLOR_PARAM"": [1, ""f!OPZ2;u#xh@18$vz16r""], ""VALUE"": [1, [4, ""0""]]}",6,6,"peu,X}IjbxqL%6W$ozZj"
8,control_forever,,,7,7,sia5-U(pVJN2@bg2djyG
9,pen_penDown,,{},8,8,vB=I/:xU$_upl^hMd^!Q
10,control_repeat,,,9,9,8[b{qsZvrkw2LMnFxH4D
11,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",10,10,"),CjdfmWd~iIk1p?^xMs"
12,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",11,11,X#nt;tKRB7lcuc$M=Tt{
13,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",12,10,"),CjdfmWd~iIk1p?^xMs"
14,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",13,11,X#nt;tKRB7lcuc$M=Tt{
15,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",14,10,"),CjdfmWd~iIk1p?^xMs"
16,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",15,11,X#nt;tKRB7lcuc$M=Tt{
17,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",16,10,"),CjdfmWd~iIk1p?^xMs"
18,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",17,11,X#nt;tKRB7lcuc$M=Tt{
19,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",18,10,"),CjdfmWd~iIk1p?^xMs"
20,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",19,11,X#nt;tKRB7lcuc$M=Tt{
21,motion_movesteps,,"{""STEPS"": [1, [4, ""40""]]}",20,10,"),CjdfmWd~iIk1p?^xMs"
22,motion_turnleft,,"{""DEGREES"": [1, [4, ""60""]]}",21,11,X#nt;tKRB7lcuc$M=Tt{
23,pen_penUp,,{},22,10,!*(Xqt|}^{~O+}8QnXt$
