,BlockName,Key,Field,node_id,parent_id,hash
0,90,-169,76,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,W)]*YK#VW]=9O4Q%y4Fo
3,motion_gotoxy,,"{""X"": [1, [4, ""-169""]], ""Y"": [1, [4, ""76""]]}",2,2,zRrss{42-9ibz$ixN`+L
4,sound_playuntildone,,"{""SOUND_MENU"": [1, ""2F7885=3,tXyeI,?hRI9""]}",3,3,";!)V]oC[ps!,*s_@Pg$A"
5,data_setvariableto,,,4,4,~fBVIns78Q`65jxvlFK8
6,SCRIPT,,,0,0,
7,event_whenbroadcastreceived,,,1,0,"!N-hP6uuTgW,s)_K@shm"
8,looks_sayforsecs,,"{""MESSAGE"": [3, ""wY_^5J;!25D$NO8YUNEF"", [10, ""Hello!""]], ""SECS"": [1, [4, ""3""]]}",2,7,g-r7FKrXt9RY%uSF[XX1
