key,x,y,wait
,0.8660254037844387,0.49999999999999994,0
space,,,
,0.8660254037844387,0.49999999999999994,0
up arrow,,,
,0.8660254037844387,0.49999999999999994,0
space,,,
,0.8660254037844448,-99.5,1
up arrow,,,
,0.8660254037844448,100,0
space,,,
