,key,x,y,wait,move_index
0,,-33,-104,0,2
1,,-133.0,-104.0,0.0,5
2,,-133.0,-104.0,3.0,7
3,,-123.0,-104.0,0.0,10
4,,-123.0,-104.0,0.25,12
5,,-113.0,-104.0,0.0,13
6,,-113.0,-104.0,0.25,15
7,,-103.0,-104.0,0.0,16
8,,-103.0,-104.0,0.25,18
9,,-93.0,-104.0,0.0,19
10,,-93.0,-104.0,0.25,21
11,,-83.0,-104.0,0.0,22
12,,-83.0,-104.0,0.25,24
13,,-73.0,-104.0,0.0,25
14,,-73.0,-104.0,0.25,27
15,,-63.0,-104.0,0.0,28
16,,-63.0,-104.0,0.25,30
17,,-53.0,-104.0,0.0,31
18,,-53.0,-104.0,0.25,33
19,,-43.0,-104.0,0.0,34
20,,-43.0,-104.0,0.25,36
21,,-33.0,-104.0,0.0,37
22,,-33.0,-104.0,0.25,39
23,,-33.0,-104.0,3.0,41
24,,-33.0,-104.0,0,44
