,key,x,y,wait,move_index
0,,-22.0,-32,0,2
1,,-140.0,0.0,0.0,4
2,,-140.0,0.0,1.0,17
3,,-140.0,0.0,1.0,20
4,,-140.0,0.0,1.0,23
5,,-140.0,0.0,1.0,26
6,,-140.0,0.0,1.0,33
7,,-140.0,0.0,1.0,36
8,,-140.0,0.0,1.0,39
9,,-140.0,0.0,1.0,42
10,,10.0,0.0,0.0,44
11,,10.0,0.0,1.0,57
12,,10.0,0.0,1.0,60
13,,10.0,0.0,1.0,63
14,,10.0,0.0,1.0,66
15,,10.0,0.0,1.0,73
16,,10.0,0.0,1.0,76
17,,10.0,0.0,1.0,79
18,,10.0,0.0,1.0,82
19,,140.0,0.0,0.0,84
20,,140.0,0.0,1.0,97
21,,140.0,0.0,1.0,100
22,,140.0,0.0,1.0,103
23,,140.0,0.0,1.0,106
24,,140.0,0.0,1.0,113
25,,140.0,0.0,1.0,116
26,,140.0,0.0,1.0,119
27,,140.0,0.0,1.0,122
28,,240.0,0.0,0.0,125
