,key,x,y,wait,move_index
0,,0.0,0,0,2
1,,0.0,0.0,0.0,3
2,,100.0,0.0,0.0,10
3,,0.0,0.0,0.0,11
4,,100.0,0.0,0.0,13
5,,0.0,0.0,0.0,14
6,,100.0,0.0,0.0,16
7,,0.0,0.0,0.0,17
8,,100.0,0.0,0.0,19
9,,0.0,0.0,0.0,20
10,,100.0,0.0,0.0,22
11,,0.0,0.0,0.0,23
12,,100.0,0.0,0.0,25
13,,0.0,0.0,0.0,26
14,,100.0,0.0,0.0,28
15,,0.0,0.0,0.0,29
16,,100.0,0.0,0.0,31
17,,0.0,0.0,0.0,32
18,,100.0,0.0,0.0,34
19,,0.0,0.0,0.0,35
20,,100.0,0.0,0.0,37
21,,0.0,0.0,0.0,38
22,,100.0,0.0,0.0,40
23,,0.0,0.0,0.0,41
24,,100.0,0.0,0.0,43
25,,0.0,0.0,0.0,44
26,,100.0,0.0,0.0,46
27,,0.0,0.0,0.0,47
28,,100.0,0.0,0.0,49
29,,0.0,0.0,0.0,50
30,,100.0,0.0,0.0,52
31,,0.0,0.0,0.0,53
32,,100.0,0.0,0.0,55
33,,0.0,0.0,0.0,56
34,,100.0,0.0,0.0,58
35,,0.0,0.0,0.0,59
36,,100.0,0.0,0.0,61
37,,0.0,0.0,0.0,62
38,,100.0,0.0,0.0,64
39,,0.0,0.0,0.0,65
40,,100.0,0.0,0.0,67
41,,0.0,0.0,0.0,68
42,,100.0,0.0,0.0,70
43,,0.0,0.0,0.0,71
44,,100.0,0.0,0.0,73
45,,0.0,0.0,0.0,74
46,,100.0,0.0,0.0,76
47,,0.0,0.0,0.0,77
48,,100.0,0.0,0.0,79
49,,0.0,0.0,0.0,80
50,,100.0,0.0,0.0,82
51,,0.0,0.0,0.0,83
52,,100.0,0.0,0.0,85
53,,0.0,0.0,0.0,86
54,,100.0,0.0,0.0,88
55,,0.0,0.0,0.0,89
56,,100.0,0.0,0.0,91
57,,0.0,0.0,0.0,92
58,,100.0,0.0,0.0,94
59,,0.0,0.0,0.0,95
60,,100.0,0.0,0.0,97
61,,0.0,0.0,0.0,98
62,,100.0,0.0,0.0,100
63,,0.0,0.0,0.0,101
64,,100.0,0.0,0.0,103
65,,0.0,0.0,0.0,104
66,,100.0,0.0,0.0,106
67,,0.0,0.0,0.0,107
68,,100.0,0.0,0.0,109
69,,0.0,0.0,0.0,110
70,,100.0,0.0,0.0,112
71,,0.0,0.0,0.0,113
72,,100.0,0.0,0.0,115
73,,0.0,0.0,0.0,116
74,,100.0,0.0,0.0,118
75,,0.0,0.0,0.0,119
76,,100.0,0.0,0.0,121
77,,0.0,0.0,0.0,122
78,,100.0,0.0,0.0,124
79,,0.0,0.0,0.0,125
80,,100.0,0.0,0.0,127
81,,0.0,0.0,0.0,128
82,,100.0,0.0,0.0,130
83,,0.0,0.0,0.0,131
84,,100.0,0.0,0.0,133
85,,0.0,0.0,0.0,134
86,,100.0,0.0,0.0,136
87,,0.0,0.0,0.0,137
88,,100.0,0.0,0.0,139
89,,0.0,0.0,0.0,140
90,,100.0,0.0,0.0,142
91,,0.0,0.0,0.0,143
92,,100.0,0.0,0.0,145
93,,0.0,0.0,0.0,146
94,,100.0,0.0,0.0,148
95,,0.0,0.0,0.0,149
96,,100.0,0.0,0.0,151
97,,0.0,0.0,0.0,152
98,,100.0,0.0,0.0,154
99,,0.0,0.0,0.0,155
100,,100.0,0.0,0.0,157
101,,0.0,0.0,0.0,158
102,,100.0,0.0,0.0,160
103,,0.0,0.0,0.0,161
104,,100.0,0.0,0.0,163
105,,0.0,0.0,0.0,164
106,,100.0,0.0,0.0,166
107,,0.0,0.0,0.0,167
108,,100.0,0.0,0.0,169
109,,0.0,0.0,0.0,170
110,,100.0,0.0,0.0,172
111,,0.0,0.0,0.0,173
112,,100.0,0.0,0.0,175
113,,0.0,0.0,0.0,176
114,,100.0,0.0,0.0,178
115,,0.0,0.0,0.0,179
116,,100.0,0.0,0.0,181
117,,0.0,0.0,0.0,182
118,,100.0,0.0,0.0,184
119,,0.0,0.0,0.0,185
120,,100.0,0.0,0.0,187
121,,0.0,0.0,0.0,188
122,,100.0,0.0,0.0,190
123,,0.0,0.0,0.0,191
124,,100.0,0.0,0.0,193
125,,0.0,0.0,0.0,194
126,,100.0,0.0,0.0,196
127,,0.0,0.0,0.0,197
128,,100.0,0.0,0.0,199
129,,0.0,0.0,0.0,200
130,,100.0,0.0,0.0,202
131,,0.0,0.0,0.0,203
132,,100.0,0.0,0.0,205
133,,0.0,0.0,0.0,206
134,,100.0,0.0,0.0,208
135,,0.0,0.0,0.0,209
136,,100.0,0.0,0.0,211
137,,0.0,0.0,0.0,212
138,,100.0,0.0,0.0,214
139,,0.0,0.0,0.0,215
140,,100.0,0.0,0.0,217
141,,0.0,0.0,0.0,218
142,,100.0,0.0,0.0,220
143,,0.0,0.0,0.0,221
144,,100.0,0.0,0.0,223
145,,0.0,0.0,0.0,224
146,,100.0,0.0,0.0,226
147,,0.0,0.0,0.0,227
148,,100.0,0.0,0.0,229
149,,0.0,0.0,0.0,230
150,,100.0,0.0,0.0,232
151,,0.0,0.0,0.0,233
152,,100.0,0.0,0.0,235
153,,0.0,0.0,0.0,236
154,,100.0,0.0,0.0,238
155,,0.0,0.0,0.0,239
156,,100.0,0.0,0.0,241
157,,0.0,0.0,0.0,242
158,,100.0,0.0,0.0,244
159,,0.0,0.0,0.0,245
160,,100.0,0.0,0.0,247
161,,0.0,0.0,0.0,248
162,,100.0,0.0,0.0,250
163,,0.0,0.0,0.0,251
164,,100.0,0.0,0.0,253
165,,0.0,0.0,0.0,254
166,,100.0,0.0,0.0,256
167,,0.0,0.0,0.0,257
168,,100.0,0.0,0.0,259
169,,0.0,0.0,0.0,260
170,,100.0,0.0,0.0,262
171,,0.0,0.0,0.0,263
172,,100.0,0.0,0.0,265
173,,0.0,0.0,0.0,266
174,,100.0,0.0,0.0,268
175,,0.0,0.0,0.0,269
176,,100.0,0.0,0.0,271
177,,0.0,0.0,0.0,272
178,,100.0,0.0,0.0,274
179,,0.0,0.0,0.0,275
180,,100.0,0.0,0.0,277
181,,0.0,0.0,0.0,278
182,,100.0,0.0,0.0,280
183,,0.0,0.0,0.0,281
184,,100.0,0.0,0.0,283
185,,0.0,0.0,0.0,284
186,,100.0,0.0,0.0,286
187,,0.0,0.0,0.0,287
188,,100.0,0.0,0.0,289
189,,0.0,0.0,0.0,290
190,,100.0,0.0,0.0,292
191,,0.0,0.0,0.0,293
192,,100.0,0.0,0.0,295
193,,0.0,0.0,0.0,296
194,,100.0,0.0,0.0,298
195,,0.0,0.0,0.0,299
196,,100.0,0.0,0.0,301
197,,0.0,0.0,0.0,302
198,,100.0,0.0,0.0,304
199,,0.0,0.0,0.0,305
200,,100.0,0.0,0.0,307
201,,0.0,0.0,0.0,308
202,,100.0,0.0,0.0,310
203,,0.0,0.0,0.0,311
204,,100.0,0.0,0.0,313
205,,0.0,0.0,0.0,314
206,,100.0,0.0,0.0,316
207,,0.0,0.0,0.0,317
208,,100.0,0.0,0.0,319
209,,0.0,0.0,0.0,320
210,,100.0,0.0,0.0,322
211,,0.0,0.0,0.0,323
212,,100.0,0.0,0.0,325
213,,0.0,0.0,0.0,326
214,,100.0,0.0,0.0,328
215,,0.0,0.0,0.0,329
216,,100.0,0.0,0.0,331
217,,0.0,0.0,0.0,332
218,,100.0,0.0,0.0,334
219,,0.0,0.0,0.0,335
220,,100.0,0.0,0.0,337
221,,0.0,0.0,0.0,338
222,,100.0,0.0,0.0,340
223,,0.0,0.0,0.0,341
224,,100.0,0.0,0.0,343
225,,0.0,0.0,0.0,344
226,,100.0,0.0,0.0,346
227,,0.0,0.0,0.0,347
228,,100.0,0.0,0.0,349
229,,0.0,0.0,0.0,350
230,,100.0,0.0,0.0,352
231,,0.0,0.0,0.0,353
232,,100.0,0.0,0.0,355
233,,0.0,0.0,0.0,356
234,,100.0,0.0,0.0,358
235,,0.0,0.0,0.0,359
236,,100.0,0.0,0.0,361
237,,0.0,0.0,0.0,362
238,,100.0,0.0,0.0,364
239,,0.0,0.0,0.0,365
240,,100.0,0.0,0.0,367
241,,0.0,0.0,0.0,368
242,,100.0,0.0,0.0,370
243,,0.0,0.0,0.0,371
244,,100.0,0.0,0.0,373
245,,0.0,0.0,0.0,374
246,,100.0,0.0,0.0,376
247,,0.0,0.0,0.0,377
248,,100.0,0.0,0.0,379
249,,0.0,0.0,0.0,380
250,,100.0,0.0,0.0,382
251,,0.0,0.0,0.0,383
252,,100.0,0.0,0.0,385
253,,0.0,0.0,0.0,386
254,,100.0,0.0,0.0,388
255,,0.0,0.0,0.0,389
256,,100.0,0.0,0.0,391
257,,0.0,0.0,0.0,392
258,,100.0,0.0,0.0,394
259,,0.0,0.0,0.0,395
260,,100.0,0.0,0.0,397
261,,0.0,0.0,0.0,398
262,,100.0,0.0,0.0,400
263,,0.0,0.0,0.0,401
264,,100.0,0.0,0.0,403
265,,0.0,0.0,0.0,404
266,,100.0,0.0,0.0,406
267,,0.0,0.0,0.0,407
268,,100.0,0.0,0.0,409
269,,0.0,0.0,0.0,410
270,,100.0,0.0,0.0,412
271,,0.0,0.0,0.0,413
272,,100.0,0.0,0.0,415
273,,0.0,0.0,0.0,416
274,,100.0,0.0,0.0,418
275,,0.0,0.0,0.0,419
276,,100.0,0.0,0.0,421
277,,0.0,0.0,0.0,422
278,,100.0,0.0,0.0,424
279,,0.0,0.0,0.0,425
280,,100.0,0.0,0.0,427
281,,0.0,0.0,0.0,428
282,,100.0,0.0,0.0,430
283,,0.0,0.0,0.0,431
284,,100.0,0.0,0.0,433
285,,0.0,0.0,0.0,434
286,,100.0,0.0,0.0,436
287,,0.0,0.0,0.0,437
288,,100.0,0.0,0.0,439
289,,0.0,0.0,0.0,440
290,,100.0,0.0,0.0,442
291,,0.0,0.0,0.0,443
292,,100.0,0.0,0.0,445
293,,0.0,0.0,0.0,446
294,,100.0,0.0,0.0,448
295,,0.0,0.0,0.0,449
296,,100.0,0.0,0.0,451
297,,0.0,0.0,0.0,452
298,,100.0,0.0,0.0,454
299,,0.0,0.0,0.0,455
300,,100.0,0.0,0.0,457
301,,0.0,0.0,0.0,458
302,,100.0,0.0,0.0,460
303,,0.0,0.0,0.0,461
304,,100.0,0.0,0.0,463
305,,0.0,0.0,0.0,464
306,,100.0,0.0,0.0,466
307,,0.0,0.0,0.0,467
308,,100.0,0.0,0.0,469
309,,0.0,0.0,0.0,470
310,,100.0,0.0,0.0,472
311,,0.0,0.0,0.0,473
312,,100.0,0.0,0.0,475
313,,0.0,0.0,0.0,476
314,,100.0,0.0,0.0,478
315,,0.0,0.0,0.0,479
316,,100.0,0.0,0.0,481
317,,0.0,0.0,0.0,482
318,,100.0,0.0,0.0,484
319,,0.0,0.0,0.0,485
320,,100.0,0.0,0.0,487
321,,0.0,0.0,0.0,488
322,,100.0,0.0,0.0,490
323,,0.0,0.0,0.0,491
324,,100.0,0.0,0.0,493
325,,0.0,0.0,0.0,494
326,,100.0,0.0,0.0,496
327,,0.0,0.0,0.0,497
328,,100.0,0.0,0.0,499
329,,0.0,0.0,0.0,500
330,,100.0,0.0,0.0,502
331,,0.0,0.0,0.0,503
332,,100.0,0.0,0.0,505
333,,0.0,0.0,0.0,506
334,,100.0,0.0,0.0,508
335,,0.0,0.0,0.0,509
336,,100.0,0.0,0.0,511
337,,0.0,0.0,0.0,512
338,,100.0,0.0,0.0,514
339,,0.0,0.0,0.0,515
340,,100.0,0.0,0.0,517
341,,0.0,0.0,0.0,518
342,,100.0,0.0,0.0,520
343,,0.0,0.0,0.0,521
344,,100.0,0.0,0.0,523
345,,0.0,0.0,0.0,524
346,,100.0,0.0,0.0,526
347,,0.0,0.0,0.0,527
348,,100.0,0.0,0.0,529
349,,0.0,0.0,0.0,530
350,,100.0,0.0,0.0,532
351,,0.0,0.0,0.0,533
352,,100.0,0.0,0.0,535
353,,0.0,0.0,0.0,536
354,,100.0,0.0,0.0,538
355,,0.0,0.0,0.0,539
356,,100.0,0.0,0.0,541
357,,0.0,0.0,0.0,542
358,,100.0,0.0,0.0,544
359,,0.0,0.0,0.0,545
360,,100.0,0.0,0.0,547
361,,0.0,0.0,0.0,548
362,,100.0,0.0,0.0,550
363,,0.0,0.0,0.0,551
364,,100.0,0.0,0.0,553
365,,0.0,0.0,0.0,554
366,,100.0,0.0,0.0,556
367,,0.0,0.0,0.0,557
368,,100.0,0.0,0.0,559
369,,0.0,0.0,0.0,560
370,,100.0,0.0,0.0,562
371,,0.0,0.0,0.0,563
372,,100.0,0.0,0.0,565
373,,0.0,0.0,0.0,566
374,,100.0,0.0,0.0,568
375,,0.0,0.0,0.0,569
376,,100.0,0.0,0.0,571
377,,0.0,0.0,0.0,572
378,,100.0,0.0,0.0,574
379,,0.0,0.0,0.0,575
380,,100.0,0.0,0.0,577
381,,0.0,0.0,0.0,578
382,,100.0,0.0,0.0,580
383,,0.0,0.0,0.0,581
384,,100.0,0.0,0.0,583
385,,0.0,0.0,0.0,584
386,,100.0,0.0,0.0,586
387,,0.0,0.0,0.0,587
388,,100.0,0.0,0.0,589
389,,0.0,0.0,0.0,590
390,,100.0,0.0,0.0,592
391,,0.0,0.0,0.0,593
392,,100.0,0.0,0.0,595
393,,0.0,0.0,0.0,596
394,,100.0,0.0,0.0,598
395,,0.0,0.0,0.0,599
396,,100.0,0.0,0.0,601
397,,0.0,0.0,0.0,602
398,,100.0,0.0,0.0,604
399,,0.0,0.0,0.0,605
400,,100.0,0.0,0.0,607
401,,0.0,0.0,0.0,608
402,,100.0,0.0,0.0,610
403,,0.0,0.0,0.0,611
404,,100.0,0.0,0.0,613
405,,0.0,0.0,0.0,614
406,,100.0,0.0,0.0,616
407,,0.0,0.0,0.0,617
408,,100.0,0.0,0.0,619
409,,0.0,0.0,0.0,620
410,,100.0,0.0,0.0,622
411,,0.0,0.0,0.0,623
412,,100.0,0.0,0.0,625
413,,0.0,0.0,0.0,626
414,,100.0,0.0,0.0,628
415,,0.0,0.0,0.0,629
416,,100.0,0.0,0.0,631
417,,0.0,0.0,0.0,632
418,,100.0,0.0,0.0,634
419,,0.0,0.0,0.0,635
420,,100.0,0.0,0.0,637
421,,0.0,0.0,0.0,638
422,,100.0,0.0,0.0,640
423,,0.0,0.0,0.0,641
424,,100.0,0.0,0.0,643
425,,0.0,0.0,0.0,644
426,,100.0,0.0,0.0,646
427,,0.0,0.0,0.0,647
428,,100.0,0.0,0.0,649
429,,0.0,0.0,0.0,650
430,,100.0,0.0,0.0,652
431,,0.0,0.0,0.0,653
432,,100.0,0.0,0.0,655
433,,0.0,0.0,0.0,656
434,,100.0,0.0,0.0,658
435,,0.0,0.0,0.0,659
436,,100.0,0.0,0.0,661
437,,0.0,0.0,0.0,662
438,,100.0,0.0,0.0,664
439,,0.0,0.0,0.0,665
440,,100.0,0.0,0.0,667
441,,0.0,0.0,0.0,668
442,,100.0,0.0,0.0,670
443,,0.0,0.0,0.0,671
444,,100.0,0.0,0.0,673
445,,0.0,0.0,0.0,674
446,,100.0,0.0,0.0,676
447,,0.0,0.0,0.0,677
448,,100.0,0.0,0.0,679
449,,0.0,0.0,0.0,680
450,,100.0,0.0,0.0,682
451,,0.0,0.0,0.0,683
452,,100.0,0.0,0.0,685
453,,0.0,0.0,0.0,686
454,,100.0,0.0,0.0,688
455,,0.0,0.0,0.0,689
456,,100.0,0.0,0.0,691
457,,0.0,0.0,0.0,692
458,,100.0,0.0,0.0,694
459,,0.0,0.0,0.0,695
460,,100.0,0.0,0.0,697
461,,0.0,0.0,0.0,698
462,,100.0,0.0,0.0,700
463,,0.0,0.0,0.0,701
464,,100.0,0.0,0.0,703
465,,0.0,0.0,0.0,704
466,,100.0,0.0,0.0,706
