,key,x,y,wait,move_index
0,,-76.0,-139,0,2
1,,-66.0,-139,0.0,5
2,,-56.0,-139,0.0,7
3,,-46.0,-139,0.0,9
4,,-36.0,-139,0.0,11
5,,-26.0,-139,0.0,13
6,,-16.0,-139,0.0,15
7,,-6.0,-139,0.0,17
8,,4.0,-139,0.0,19
9,,14.0,-139,0.0,21
10,,24.0,-139,0.0,23
11,,34.0,-139,0.0,25
12,,44.0,-139,0.0,27
13,,54.0,-139,0.0,29
14,,64.0,-139,0.0,31
15,,74.0,-139,0.0,33
16,,84.0,-139,0.0,35
17,,94.0,-139,0.0,37
18,,104.0,-139,0.0,39
19,,114.0,-139,0.0,41
20,,124.0,-139,0.0,43
21,,134.0,-139,0.0,45
22,,144.0,-139,0.0,47
23,,154.0,-139,0.0,49
24,,164.0,-139,0.0,51
25,,174.0,-139,0.0,53
26,,184.0,-139,0.0,55
27,,194.0,-139,0.0,57
28,,204.0,-139,0.0,59
29,,214.0,-139,0.0,61
30,,224.0,-139,0.0,63
