,key,x,y,wait,move_index
0,,-230.0,-3,0,2
1,,-230.0,0.0,0.0,3
2,,-227.0,0.0,0.0,5
3,,-230.0,0.0,0.0,9
4,,-227.0,0.0,0.0,10
5,,-230.0,0.0,0.0,14
6,,-227.0,0.0,0.0,15
7,,-230.0,0.0,0.0,19
8,,-227.0,0.0,0.0,20
9,,-230.0,0.0,0.0,24
10,,-227.0,0.0,0.0,25
11,,-230.0,0.0,0.0,29
12,,-227.0,0.0,0.0,30
13,,-230.0,0.0,0.0,34
14,,-227.0,0.0,0.0,35
15,,-230.0,0.0,0.0,39
16,,-227.0,0.0,0.0,40
17,,-230.0,0.0,0.0,44
18,,-227.0,0.0,0.0,45
19,,-230.0,0.0,0.0,49
20,,-227.0,0.0,0.0,50
21,,-230.0,0.0,0.0,54
22,,-227.0,0.0,0.0,55
23,,-230.0,0.0,0.0,59
24,,-227.0,0.0,0.0,60
25,,-230.0,0.0,0.0,64
26,,-227.0,0.0,0.0,65
27,,-230.0,0.0,0.0,69
28,,-227.0,0.0,0.0,70
29,,-230.0,0.0,0.0,74
30,,-227.0,0.0,0.0,75
31,,-230.0,0.0,0.0,79
32,,-227.0,0.0,0.0,80
33,,-230.0,0.0,0.0,84
34,,-227.0,0.0,0.0,85
35,,-230.0,0.0,0.0,89
36,,-227.0,0.0,0.0,90
37,,-230.0,0.0,0.0,94
38,,-227.0,0.0,0.0,95
39,,-230.0,0.0,0.0,99
40,,-227.0,0.0,0.0,100
41,,-230.0,0.0,0.0,104
42,,-227.0,0.0,0.0,105
43,,-230.0,0.0,0.0,109
44,,-227.0,0.0,0.0,110
45,,-230.0,0.0,0.0,114
46,,-227.0,0.0,0.0,115
47,,-230.0,0.0,0.0,119
48,,-227.0,0.0,0.0,120
49,,-230.0,0.0,0.0,124
50,,-227.0,0.0,0.0,125
51,,-230.0,0.0,0.0,129
52,,-227.0,0.0,0.0,130
53,,-230.0,0.0,0.0,134
54,,-227.0,0.0,0.0,135
55,,-230.0,0.0,0.0,139
56,,-227.0,0.0,0.0,140
57,,-230.0,0.0,0.0,144
58,,-227.0,0.0,0.0,145
59,,-230.0,0.0,0.0,149
60,,-227.0,0.0,0.0,150
61,,-230.0,0.0,0.0,154
