,key,x,y,wait,move_index
0,,125.0,-45,0,2
1,,126.0,-45.0,0.0,4
2,,127.0,-45.0,0.0,6
3,,128.0,-45.0,0.0,8
4,,129.0,-45.0,0.0,10
5,,130.0,-45.0,0.0,12
6,,131.0,-45.0,0.0,14
7,,132.0,-45.0,0.0,16
8,,133.0,-45.0,0.0,18
9,,134.0,-45.0,0.0,20
10,,135.0,-45.0,0.0,22
11,,136.0,-45.0,0.0,24
12,,137.0,-45.0,0.0,26
13,,138.0,-45.0,0.0,28
14,,139.0,-45.0,0.0,30
15,,140.0,-45.0,0.0,32
16,,141.0,-45.0,0.0,34
17,,142.0,-45.0,0.0,36
18,,143.0,-45.0,0.0,38
19,,144.0,-45.0,0.0,40
20,,145.0,-45.0,0.0,42
21,,146.0,-45.0,0.0,44
22,,147.0,-45.0,0.0,46
23,,148.0,-45.0,0.0,48
24,,149.0,-45.0,0.0,50
25,,150.0,-45.0,0.0,52
26,,151.0,-45.0,0.0,54
27,,152.0,-45.0,0.0,56
28,,153.0,-45.0,0.0,58
29,,154.0,-45.0,0.0,60
30,,155.0,-45.0,0.0,62
31,,156.0,-45.0,0.0,64
32,,157.0,-45.0,0.0,66
33,,158.0,-45.0,0.0,68
34,,159.0,-45.0,0.0,70
35,,160.0,-45.0,0.0,72
36,,161.0,-45.0,0.0,74
37,,162.0,-45.0,0.0,76
38,,163.0,-45.0,0.0,78
39,,164.0,-45.0,0.0,80
40,,165.0,-45.0,0.0,82
41,,166.0,-45.0,0.0,84
42,,167.0,-45.0,0.0,86
43,,168.0,-45.0,0.0,88
44,,169.0,-45.0,0.0,90
45,,170.0,-45.0,0.0,92
46,,171.0,-45.0,0.0,94
47,,172.0,-45.0,0.0,96
48,,173.0,-45.0,0.0,98
49,,174.0,-45.0,0.0,100
50,,175.0,-45.0,0.0,102
51,,176.0,-45.0,0.0,104
52,,177.0,-45.0,0.0,106
53,,178.0,-45.0,0.0,108
54,,179.0,-45.0,0.0,110
55,,180.0,-45.0,0.0,112
56,,181.0,-45.0,0.0,114
57,,182.0,-45.0,0.0,116
58,,183.0,-45.0,0.0,118
59,,184.0,-45.0,0.0,120
60,,185.0,-45.0,0.0,122
61,,186.0,-45.0,0.0,124
62,,187.0,-45.0,0.0,126
63,,188.0,-45.0,0.0,128
64,,189.0,-45.0,0.0,130
65,,190.0,-45.0,0.0,132
66,,191.0,-45.0,0.0,134
67,,192.0,-45.0,0.0,136
68,,193.0,-45.0,0.0,138
69,,194.0,-45.0,0.0,140
70,,195.0,-45.0,0.0,142
71,,196.0,-45.0,0.0,144
72,,197.0,-45.0,0.0,146
73,,198.0,-45.0,0.0,148
74,,199.0,-45.0,0.0,150
75,,200.0,-45.0,0.0,152
76,,201.0,-45.0,0.0,154
77,,202.0,-45.0,0.0,156
78,,203.0,-45.0,0.0,158
79,,204.0,-45.0,0.0,160
80,,205.0,-45.0,0.0,162
81,,206.0,-45.0,0.0,164
82,,207.0,-45.0,0.0,166
83,,208.0,-45.0,0.0,168
84,,209.0,-45.0,0.0,170
85,,210.0,-45.0,0.0,172
86,,211.0,-45.0,0.0,174
87,,212.0,-45.0,0.0,176
88,,213.0,-45.0,0.0,178
89,,214.0,-45.0,0.0,180
90,,215.0,-45.0,0.0,182
91,,216.0,-45.0,0.0,184
92,,217.0,-45.0,0.0,186
93,,218.0,-45.0,0.0,188
94,,219.0,-45.0,0.0,190
95,,220.0,-45.0,0.0,192
96,,221.0,-45.0,0.0,194
97,,222.0,-45.0,0.0,196
98,,223.0,-45.0,0.0,198
99,,224.0,-45.0,0.0,200
100,,225.0,-45.0,0.0,202
101,,226.0,-45.0,0.0,204
102,,227.0,-45.0,0.0,206
103,,228.0,-45.0,0.0,208
104,,229.0,-45.0,0.0,210
105,,230.0,-45.0,0.0,212
106,,231.0,-45.0,0.0,214
107,,232.0,-45.0,0.0,216
108,,233.0,-45.0,0.0,218
109,,234.0,-45.0,0.0,220
110,,235.0,-45.0,0.0,222
111,,236.0,-45.0,0.0,224
112,,237.0,-45.0,0.0,226
113,,238.0,-45.0,0.0,228
114,,239.0,-45.0,0.0,230
115,,240.0,-45.0,0.0,232
116,,241.0,-45.0,0.0,234
117,,242.0,-45.0,0.0,236
118,,243.0,-45.0,0.0,238
119,,244.0,-45.0,0.0,240
120,,245.0,-45.0,0.0,242
121,,246.0,-45.0,0.0,244
122,,247.0,-45.0,0.0,246
123,,248.0,-45.0,0.0,248
124,,249.0,-45.0,0.0,250
125,,250.0,-45.0,0.0,252
126,,251.0,-45.0,0.0,254
127,,252.0,-45.0,0.0,256
128,,253.0,-45.0,0.0,258
129,,254.0,-45.0,0.0,260
130,,255.0,-45.0,0.0,262
131,,256.0,-45.0,0.0,264
132,,257.0,-45.0,0.0,266
133,,258.0,-45.0,0.0,268
134,,259.0,-45.0,0.0,270
135,,260.0,-45.0,0.0,272
136,,261.0,-45.0,0.0,274
137,,262.0,-45.0,0.0,276
138,,263.0,-45.0,0.0,278
139,,264.0,-45.0,0.0,280
140,,265.0,-45.0,0.0,282
141,,266.0,-45.0,0.0,284
142,,267.0,-45.0,0.0,286
143,,268.0,-45.0,0.0,288
144,,269.0,-45.0,0.0,290
145,,270.0,-45.0,0.0,292
146,,271.0,-45.0,0.0,294
147,,272.0,-45.0,0.0,296
148,,273.0,-45.0,0.0,298
149,,274.0,-45.0,0.0,300
150,,275.0,-45.0,0.0,302
151,,276.0,-45.0,0.0,304
152,,277.0,-45.0,0.0,306
153,,278.0,-45.0,0.0,308
154,,279.0,-45.0,0.0,310
155,,280.0,-45.0,0.0,312
156,,281.0,-45.0,0.0,314
157,,282.0,-45.0,0.0,316
158,,283.0,-45.0,0.0,318
159,,284.0,-45.0,0.0,320
160,,285.0,-45.0,0.0,322
161,,286.0,-45.0,0.0,324
162,,287.0,-45.0,0.0,326
163,,288.0,-45.0,0.0,328
164,,289.0,-45.0,0.0,330
165,,290.0,-45.0,0.0,332
166,,291.0,-45.0,0.0,334
167,,292.0,-45.0,0.0,336
168,,293.0,-45.0,0.0,338
169,,294.0,-45.0,0.0,340
170,,295.0,-45.0,0.0,342
171,,296.0,-45.0,0.0,344
172,,297.0,-45.0,0.0,346
173,,298.0,-45.0,0.0,348
174,,299.0,-45.0,0.0,350
175,,300.0,-45.0,0.0,352
176,,301.0,-45.0,0.0,354
177,,302.0,-45.0,0.0,356
178,,303.0,-45.0,0.0,358
179,,304.0,-45.0,0.0,360
180,,305.0,-45.0,0.0,362
181,,306.0,-45.0,0.0,364
182,,307.0,-45.0,0.0,366
183,,308.0,-45.0,0.0,368
184,,309.0,-45.0,0.0,370
185,,310.0,-45.0,0.0,372
186,,311.0,-45.0,0.0,374
187,,312.0,-45.0,0.0,376
188,,313.0,-45.0,0.0,378
189,,314.0,-45.0,0.0,380
190,,315.0,-45.0,0.0,382
191,,316.0,-45.0,0.0,384
192,,317.0,-45.0,0.0,386
193,,318.0,-45.0,0.0,388
194,,319.0,-45.0,0.0,390
195,,320.0,-45.0,0.0,392
196,,321.0,-45.0,0.0,394
197,,322.0,-45.0,0.0,396
198,,323.0,-45.0,0.0,398
199,,324.0,-45.0,0.0,400
