,key,x,y,wait,move_index
0,,74.11626436313745,49.49747468305867,0,2
1,,0.0,0.0,0.0,3
2,,-7.071067811865477,-7.071067811865475,0.0,7
3,,-14.142135623730955,-14.14213562373095,0.0,11
4,,-21.213203435596434,-21.213203435596423,0.0,15
5,,-28.28427124746191,-28.2842712474619,0.0,19
6,,-35.355339059327385,-35.35533905932737,0.0,23
7,,-42.42640687119286,-42.426406871192846,0.0,27
8,,-49.497474683058336,-49.49747468305832,0.0,31
9,,-56.56854249492381,-56.5685424949238,0.0,35
10,,-63.63961030678929,-63.63961030678927,0.0,39
11,,-70.71067811865477,-70.71067811865474,0.0,43
12,,-77.78174593052024,-77.78174593052022,0.0,47
13,,-84.85281374238572,-84.85281374238569,0.0,51
14,,-91.9238815542512,-91.92388155425117,0.0,55
15,,-98.99494936611667,-98.99494936611664,0.0,59
16,,-106.06601717798215,-106.06601717798212,0.0,63
17,,-113.13708498984762,-113.1370849898476,0.0,67
18,,-120.2081528017131,-120.20815280171307,0.0,71
19,,-127.27922061357857,-127.27922061357854,0.0,75
20,,-134.35028842544406,-134.350288425444,0.0,79
21,,-141.42135623730954,-141.42135623730948,0.0,83
22,,-148.492424049175,-148.49242404917496,0.0,87
23,,-155.5634918610405,-155.56349186104043,0.0,91
24,,-162.63455967290597,-162.6345596729059,0.0,95
25,,-169.70562748477144,-169.70562748477138,0.0,99
26,,-176.77669529663692,-176.77669529663686,0.0,103
27,,-183.8477631085024,-183.84776310850233,0.0,107
28,,-190.91883092036787,-190.9188309203678,0.0,111
29,,-197.98989873223334,-197.98989873223329,0.0,115
30,,-205.06096654409882,-205.06096654409876,0.0,119
31,,-212.1320343559643,-212.13203435596424,0.0,123
