,key,x,y,wait,move_index
0,,13.0,80,0,2
1,,13.0,80,1.0,4
2,,13.0,80,1.0,5
3,,13.0,80,1.0,6
4,,13.0,80,1.0,7
5,,13.0,80,1.0,8
6,,13.0,80,1.0,9
7,,13.0,80,1.0,10
8,,13.0,80,1.0,11
9,,13.0,80,1.0,12
10,,13.0,80,1.0,13
11,,13.0,80,1.0,14
12,,13.0,80,1.0,15
13,,13.0,80,1.0,16
14,,13.0,80,1.0,17
15,,13.0,80,1.0,18
16,,13.0,80,1.0,19
17,,13.0,80,1.0,20
18,,13.0,80,1.0,21
19,,13.0,80,1.0,22
20,,13.0,80,1.0,23
21,,13.0,80,1.0,24
22,,13.0,80,1.0,25
23,,13.0,80,1.0,26
24,,13.0,80,1.0,27
25,,13.0,80,1.0,28
26,,13.0,80,1.0,29
27,,13.0,80,1.0,30
28,,13.0,80,1.0,31
29,,13.0,80,1.0,32
30,,13.0,80,1.0,33
31,,13.0,80,1.0,34
32,,13.0,80,1.0,35
33,,13.0,80,1.0,36
34,,13.0,80,1.0,37
35,,13.0,80,1.0,38
36,,13.0,80,1.0,39
37,,13.0,80,1.0,40
38,,13.0,80,1.0,41
39,,13.0,80,1.0,42
40,,13.0,80,1.0,43
41,,13.0,80,1.0,44
42,,13.0,80,1.0,45
43,,13.0,80,1.0,46
44,,13.0,80,1.0,47
45,,13.0,80,1.0,48
46,,13.0,80,1.0,49
47,,13.0,80,1.0,50
48,,13.0,80,1.0,51
49,,13.0,80,1.0,52
50,,13.0,80,1.0,53
51,,13.0,80,1.0,54
52,,13.0,80,1.0,55
53,,13.0,80,1.0,56
54,,13.0,80,1.0,57
55,,13.0,80,1.0,58
56,,13.0,80,1.0,59
57,,13.0,80,1.0,60
58,,13.0,80,1.0,61
59,,13.0,80,1.0,62
60,,13.0,80,1.0,63
61,,13.0,80,0,65
62,,13.0,80,1.0,67
