,key,x,y,wait,move_index
0,,-152.0,137,0,2
1,,-152.0,137.0,0.0,4
2,,-152.0,137.0,0.05,9
3,,-152.0,137.0,0.05,11
4,,-152.0,137.0,0.05,13
5,,-152.0,137.0,0.05,15
6,,-152.0,137.0,0.05,17
7,,-152.0,137.0,0.05,19
8,,-152.0,137.0,0.05,21
9,,-152.0,137.0,0.05,23
10,,-152.0,137.0,0.05,25
11,,-152.0,137.0,0.05,27
12,,-152.0,137.0,0.05,29
13,,-152.0,137.0,0.05,31
14,,-152.0,137.0,0.05,33
15,,-152.0,137.0,0.05,35
16,,-152.0,137.0,0.05,37
17,,-152.0,137.0,0.05,39
18,,-152.0,137.0,0.05,41
19,,-152.0,137.0,0.05,43
20,,-152.0,137.0,0.05,45
21,,-152.0,137.0,0.05,47
22,,-152.0,137.0,0.05,49
23,,-152.0,137.0,0.05,51
24,,-152.0,137.0,0.05,53
25,,-152.0,137.0,0.05,55
26,,-152.0,137.0,0.05,57
27,,-152.0,137.0,0.05,59
28,,-152.0,137.0,0.05,61
29,,-152.0,137.0,0.05,63
30,,-152.0,137.0,0.05,65
31,,-152.0,137.0,0.05,67
