,key,x,y,wait,move_index
0,,0.0,0,0,2
1,,0.0,0.0,0.0,3
2,,0.0,0.0,0.5,10
3,,0.0,0.0,0.5,12
4,,0.0,0.0,0.5,14
5,,0.0,0.0,0.5,16
6,,0.0,0.0,0.5,18
7,,0.0,0.0,0.5,20
8,,0.0,0.0,0.5,24
9,,0.0,0.0,0.5,26
10,,0.0,0.0,0.5,28
11,,0.0,0.0,0.5,30
12,,0.0,0.0,0.5,32
13,,0.0,0.0,0.5,34
14,,0.0,0.0,0.5,38
15,,0.0,0.0,0.5,40
16,,0.0,0.0,0.5,42
17,,0.0,0.0,0.5,44
18,,0.0,0.0,0.5,46
19,,0.0,0.0,0.5,48
20,,0.0,0.0,0.5,52
21,,0.0,0.0,0.5,54
22,,0.0,0.0,0.5,56
23,,0.0,0.0,0.5,58
24,,0.0,0.0,0.5,60
25,,0.0,0.0,0.5,62
26,,0.0,0.0,0.5,66
27,,0.0,0.0,0.5,68
28,,0.0,0.0,0.5,70
29,,0.0,0.0,0.5,72
30,,0.0,0.0,0.5,74
31,,0.0,0.0,0.5,76
32,,0.0,0.0,0.5,80
33,,0.0,0.0,0.5,82
34,,0.0,0.0,0.5,84
35,,0.0,0.0,0.5,86
36,,0.0,0.0,0.5,88
37,,0.0,0.0,0.5,90
38,,0.0,0.0,0.5,94
39,,0.0,0.0,0.5,96
40,,0.0,0.0,0.5,98
41,,0.0,0.0,0.5,100
42,,0.0,0.0,0.5,102
43,,0.0,0.0,0.5,104
44,,0.0,0.0,0.5,108
45,,0.0,0.0,0.5,110
46,,0.0,0.0,0.5,112
47,,0.0,0.0,0.5,114
48,,0.0,0.0,0.5,116
49,,0.0,0.0,0.5,118
50,,0.0,0.0,0.5,122
51,,0.0,0.0,0.5,124
52,,0.0,0.0,0.5,126
53,,0.0,0.0,0.5,128
54,,0.0,0.0,0.5,130
55,,0.0,0.0,0.5,132
56,,0.0,0.0,0.5,136
57,,0.0,0.0,0.5,138
58,,0.0,0.0,0.5,140
59,,0.0,0.0,0.5,142
60,,0.0,0.0,0.5,144
61,,0.0,0.0,0.5,146
62,,0.0,0.0,0.5,150
63,,0.0,0.0,0.5,152
64,,0.0,0.0,0.5,154
65,,0.0,0.0,0.5,156
66,,0.0,0.0,0.5,158
67,,0.0,0.0,0.5,160
68,,0.0,0.0,0.5,164
69,,0.0,0.0,0.5,166
70,,0.0,0.0,0.5,168
71,,0.0,0.0,0.5,170
72,,0.0,0.0,0.5,172
73,,0.0,0.0,0.5,174
74,,0.0,0.0,0.5,178
75,,0.0,0.0,0.5,180
76,,0.0,0.0,0.5,182
77,,0.0,0.0,0.5,184
78,,0.0,0.0,0.5,186
79,,0.0,0.0,0.5,188
80,,0.0,0.0,0.5,192
81,,0.0,0.0,0.5,194
82,,0.0,0.0,0.5,196
83,,0.0,0.0,0.5,198
84,,0.0,0.0,0.5,200
85,,0.0,0.0,0.5,202
86,,0.0,0.0,0.5,206
87,,0.0,0.0,0.5,208
88,,0.0,0.0,0.5,210
89,,0.0,0.0,0.5,212
90,,0.0,0.0,0.5,214
91,,0.0,0.0,0.5,216
92,,0.0,0.0,0.5,220
93,,0.0,0.0,0.5,222
94,,0.0,0.0,0.5,224
95,,0.0,0.0,0.5,226
96,,0.0,0.0,0.5,228
97,,0.0,0.0,0.5,230
98,,0.0,0.0,0.5,234
99,,0.0,0.0,0.5,236
100,,0.0,0.0,0.5,238
101,,0.0,0.0,0.5,240
102,,0.0,0.0,0.5,242
103,,0.0,0.0,0.5,244
104,,0.0,0.0,0.5,248
105,,0.0,0.0,0.5,250
106,,0.0,0.0,0.5,252
107,,0.0,0.0,0.5,254
108,,0.0,0.0,0.5,256
109,,0.0,0.0,0.5,258
110,,0.0,0.0,0.5,262
111,,0.0,0.0,0.5,264
112,,0.0,0.0,0.5,266
113,,0.0,0.0,0.5,268
114,,0.0,0.0,0.5,270
115,,0.0,0.0,0.5,272
116,,0.0,0.0,0.5,276
117,,0.0,0.0,0.5,278
118,,0.0,0.0,0.5,280
119,,0.0,0.0,0.5,282
120,,0.0,0.0,0.5,284
121,,0.0,0.0,0.5,286
122,,0.0,0.0,0.5,290
123,,0.0,0.0,0.5,292
124,,0.0,0.0,0.5,294
125,,0.0,0.0,0.5,296
126,,0.0,0.0,0.5,298
127,,0.0,0.0,0.5,300
128,,0.0,0.0,0.5,304
129,,0.0,0.0,0.5,306
130,,0.0,0.0,0.5,308
131,,0.0,0.0,0.5,310
132,,0.0,0.0,0.5,312
133,,0.0,0.0,0.5,314
134,,0.0,0.0,0.5,318
135,,0.0,0.0,0.5,320
136,,0.0,0.0,0.5,322
137,,0.0,0.0,0.5,324
138,,0.0,0.0,0.5,326
139,,0.0,0.0,0.5,328
140,,0.0,0.0,0.5,332
141,,0.0,0.0,0.5,334
142,,0.0,0.0,0.5,336
143,,0.0,0.0,0.5,338
144,,0.0,0.0,0.5,340
145,,0.0,0.0,0.5,342
146,,0.0,0.0,0.5,346
147,,0.0,0.0,0.5,348
148,,0.0,0.0,0.5,350
149,,0.0,0.0,0.5,352
150,,0.0,0.0,0.5,354
151,,0.0,0.0,0.5,356
152,,0.0,0.0,0.5,360
153,,0.0,0.0,0.5,362
154,,0.0,0.0,0.5,364
155,,0.0,0.0,0.5,366
156,,0.0,0.0,0.5,368
157,,0.0,0.0,0.5,370
158,,0.0,0.0,0.5,374
159,,0.0,0.0,0.5,376
160,,0.0,0.0,0.5,378
161,,0.0,0.0,0.5,380
162,,0.0,0.0,0.5,382
163,,0.0,0.0,0.5,384
164,,0.0,0.0,0.5,388
165,,0.0,0.0,0.5,390
166,,0.0,0.0,0.5,392
167,,0.0,0.0,0.5,394
168,,0.0,0.0,0.5,396
169,,0.0,0.0,0.5,398
170,,0.0,0.0,0.5,402
171,,0.0,0.0,0.5,404
172,,0.0,0.0,0.5,406
173,,0.0,0.0,0.5,408
174,,0.0,0.0,0.5,410
175,,0.0,0.0,0.5,412
176,,0.0,0.0,0.5,416
177,,0.0,0.0,0.5,418
178,,0.0,0.0,0.5,420
179,,0.0,0.0,0.5,422
180,,0.0,0.0,0.5,424
181,,0.0,0.0,0.5,426
182,,0.0,0.0,0.5,430
183,,0.0,0.0,0.5,432
184,,0.0,0.0,0.5,434
185,,0.0,0.0,0.5,436
186,,0.0,0.0,0.5,438
187,,0.0,0.0,0.5,440
188,,0.0,0.0,0.5,444
189,,0.0,0.0,0.5,446
190,,0.0,0.0,0.5,448
191,,0.0,0.0,0.5,450
192,,0.0,0.0,0.5,452
193,,0.0,0.0,0.5,454
194,,0.0,0.0,0.5,458
195,,0.0,0.0,0.5,460
196,,0.0,0.0,0.5,462
197,,0.0,0.0,0.5,464
198,,0.0,0.0,0.5,466
199,,0.0,0.0,0.5,468
200,,0.0,0.0,0.5,472
201,,0.0,0.0,0.5,474
202,,0.0,0.0,0.5,476
203,,0.0,0.0,0.5,478
204,,0.0,0.0,0.5,480
205,,0.0,0.0,0.5,482
206,,0.0,0.0,0.5,486
207,,0.0,0.0,0.5,488
208,,0.0,0.0,0.5,490
209,,0.0,0.0,0.5,492
210,,0.0,0.0,0.5,494
211,,0.0,0.0,0.5,496
212,,0.0,0.0,0.5,500
213,,0.0,0.0,0.5,502
214,,0.0,0.0,0.5,504
215,,0.0,0.0,0.5,506
216,,0.0,0.0,0.5,508
217,,0.0,0.0,0.5,510
218,,0.0,0.0,0.5,514
219,,0.0,0.0,0.5,516
220,,0.0,0.0,0.5,518
221,,0.0,0.0,0.5,520
222,,0.0,0.0,0.5,522
223,,0.0,0.0,0.5,524
224,,0.0,0.0,0.5,528
225,,0.0,0.0,0.5,530
226,,0.0,0.0,0.5,532
227,,0.0,0.0,0.5,534
228,,0.0,0.0,0.5,536
229,,0.0,0.0,0.5,538
230,,0.0,0.0,0.5,542
231,,0.0,0.0,0.5,544
232,,0.0,0.0,0.5,546
233,,0.0,0.0,0.5,548
234,,0.0,0.0,0.5,550
235,,0.0,0.0,0.5,552
236,,0.0,0.0,0.5,556
237,,0.0,0.0,0.5,558
238,,0.0,0.0,0.5,560
239,,0.0,0.0,0.5,562
240,,0.0,0.0,0.5,564
241,,0.0,0.0,0.5,566
242,,0.0,0.0,0.5,570
243,,0.0,0.0,0.5,572
244,,0.0,0.0,0.5,574
245,,0.0,0.0,0.5,576
246,,0.0,0.0,0.5,578
247,,0.0,0.0,0.5,580
248,,0.0,0.0,0.5,584
249,,0.0,0.0,0.5,586
250,,0.0,0.0,0.5,588
251,,0.0,0.0,0.5,590
252,,0.0,0.0,0.5,592
253,,0.0,0.0,0.5,594
254,,0.0,0.0,0.5,598
255,,0.0,0.0,0.5,600
256,,0.0,0.0,0.5,602
257,,0.0,0.0,0.5,604
258,,0.0,0.0,0.5,606
259,,0.0,0.0,0.5,608
260,,0.0,0.0,0.5,612
261,,0.0,0.0,0.5,614
262,,0.0,0.0,0.5,616
263,,0.0,0.0,0.5,618
264,,0.0,0.0,0.5,620
265,,0.0,0.0,0.5,622
266,,0.0,0.0,0.5,626
267,,0.0,0.0,0.5,628
268,,0.0,0.0,0.5,630
269,,0.0,0.0,0.5,632
270,,0.0,0.0,0.5,634
271,,0.0,0.0,0.5,636
272,,0.0,0.0,0.5,640
273,,0.0,0.0,0.5,642
274,,0.0,0.0,0.5,644
275,,0.0,0.0,0.5,646
276,,0.0,0.0,0.5,648
277,,0.0,0.0,0.5,650
278,,0.0,0.0,0.5,654
279,,0.0,0.0,0.5,656
280,,0.0,0.0,0.5,658
281,,0.0,0.0,0.5,660
282,,0.0,0.0,0.5,662
283,,0.0,0.0,0.5,664
284,,0.0,0.0,0.5,668
285,,0.0,0.0,0.5,670
286,,0.0,0.0,0.5,672
287,,0.0,0.0,0.5,674
288,,0.0,0.0,0.5,676
289,,0.0,0.0,0.5,678
290,,0.0,0.0,0.5,682
291,,0.0,0.0,0.5,684
292,,0.0,0.0,0.5,686
293,,0.0,0.0,0.5,688
294,,0.0,0.0,0.5,690
295,,0.0,0.0,0.5,692
296,,0.0,0.0,0.5,696
297,,0.0,0.0,0.5,698
298,,0.0,0.0,0.5,700
299,,0.0,0.0,0.5,702
300,,0.0,0.0,0.5,704
301,,0.0,0.0,0.5,706
302,,0.0,0.0,0.5,710
303,,0.0,0.0,0.5,712
304,,0.0,0.0,0.5,714
305,,0.0,0.0,0.5,716
306,,0.0,0.0,0.5,718
307,,0.0,0.0,0.5,720
308,,0.0,0.0,0.5,724
309,,0.0,0.0,0.5,726
310,,0.0,0.0,0.5,728
311,,0.0,0.0,0.5,730
312,,0.0,0.0,0.5,732
313,,0.0,0.0,0.5,734
314,,0.0,0.0,0.5,738
315,,0.0,0.0,0.5,740
316,,0.0,0.0,0.5,742
317,,0.0,0.0,0.5,744
318,,0.0,0.0,0.5,746
319,,0.0,0.0,0.5,748
320,,0.0,0.0,0.5,752
321,,0.0,0.0,0.5,754
322,,0.0,0.0,0.5,756
323,,0.0,0.0,0.5,758
324,,0.0,0.0,0.5,760
325,,0.0,0.0,0.5,762
326,,0.0,0.0,0.5,766
327,,0.0,0.0,0.5,768
328,,0.0,0.0,0.5,770
329,,0.0,0.0,0.5,772
330,,0.0,0.0,0.5,774
331,,0.0,0.0,0.5,776
332,,0.0,0.0,0.5,780
333,,0.0,0.0,0.5,782
334,,0.0,0.0,0.5,784
335,,0.0,0.0,0.5,786
336,,0.0,0.0,0.5,788
337,,0.0,0.0,0.5,790
338,,0.0,0.0,0.5,794
339,,0.0,0.0,0.5,796
340,,0.0,0.0,0.5,798
341,,0.0,0.0,0.5,800
342,,0.0,0.0,0.5,802
343,,0.0,0.0,0.5,804
344,,0.0,0.0,0.5,808
345,,0.0,0.0,0.5,810
346,,0.0,0.0,0.5,812
347,,0.0,0.0,0.5,814
348,,0.0,0.0,0.5,816
349,,0.0,0.0,0.5,818
350,,0.0,0.0,0.5,822
351,,0.0,0.0,0.5,824
352,,0.0,0.0,0.5,826
353,,0.0,0.0,0.5,828
354,,0.0,0.0,0.5,830
355,,0.0,0.0,0.5,832
356,,0.0,0.0,0.5,836
357,,0.0,0.0,0.5,838
358,,0.0,0.0,0.5,840
359,,0.0,0.0,0.5,842
360,,0.0,0.0,0.5,844
361,,0.0,0.0,0.5,846
