,key,x,y,wait,move_index
0,,7.399481130131529,-3.305084773544092,0,2
1,,0.0,22.0,0.0,3
2,,6.509205945431484,-7.285324617629893,0.0,7
3,,11.992403568549223,-36.7799774181942,0.0,10
4,,16.442912437671296,-66.44802371055842,0.0,13
5,,19.855310293289012,-96.25331755032748,0.0,16
6,,22.225439654254895,-126.1595457781112,0.0,19
7,,23.550412883033054,-156.1302722615153,0.0,22
8,,23.8286157038407,-186.1289822869563,0.0,25
9,,23.059709169394534,-216.11912704721522,0.0,28
10,,21.24463007386581,-246.06416817052934,0.0,31
11,,18.38558981154093,-275.9276222369699,0.0,34
12,,14.486071682578148,-305.67310522786937,0.0,37
13,,9.550826649142877,-335.2643768541438,0.0,40
14,,3.5858675470921417,-364.66538470950246,0.0,43
15,,-3.401538239739721,-393.84030819475174,0.0,46
16,,-11.402877633728803,-422.75360215967726,0.0,49
17,,-20.40840223533538,-451.37004020933426,0.0,52
18,,-30.407140200027122,-479.65475762198366,0.0,55
19,,-41.38690960578156,-507.5732938263848,0.0,58
20,,-53.33433329488161,-535.0916343866935,0.0,61
21,,-66.23485517192162,-562.1762524438124,0.0,64
22,,-80.07275793816751,-588.7941495627044,0.0,67
23,,-94.8311822406641,-614.9128959359031,0.0,70
24,,-110.4921472127598,-640.500669894237,0.0,73
25,,-127.03657238102284,-665.5262966766325,0.0,76
26,,-144.444300911859,-689.9592864117573,0.0,79
27,,-162.69412416950846,-713.7698712652327,0.0,82
28,,-181.7638075555016,-736.9290417071544,0.0,85
29,,-201.63011759809206,-759.4085818557355,0.0,88
30,,-222.26885025866346,-781.1811038540127,0.0,91
31,,-243.65486042062196,-802.2200812377309,0.0,94
