,key,x,y,wait,move_index
0,,-180,-100,0,28
1,,-180.0,-120.0,0.0,29
2,,-180.0,-120.0,0,2
3,,-180.0,-110.0,0.0,5
4,,-180.0,-100.0,0.0,6
5,,-180.0,-90.0,0.0,7
6,,-180.0,-80.0,0.0,8
7,,-180.0,-70.0,0.0,9
8,,-180.0,-60.0,0.0,10
9,,-180.0,-50.0,0.0,11
10,,-180.0,-40.0,0.0,12
11,,-180.0,-30.0,0.0,13
12,,-180.0,-20.0,0.0,14
13,,-180.0,-30.0,0.0,16
14,,-180.0,-40.0,0.0,17
15,,-180.0,-50.0,0.0,18
16,,-180.0,-60.0,0.0,19
17,,-180.0,-70.0,0.0,20
18,,-180.0,-80.0,0.0,21
19,,-180.0,-90.0,0.0,22
20,,-180.0,-100.0,0.0,23
21,,-180.0,-110.0,0.0,24
22,,-180.0,-120.0,0.0,25
